URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/ofr69149,55909,ofr69149,Report,USGS Numbered Series,,"Ground-water in Santa Barbara County, California, spring 1967 to spring 1968",Open-File Report,69-149,,,,2331-1258,0196-1497,,10.3133/ofr69149,-,,,1969,false,ENGLISH,,,,"40 p., 12 figs.",,,,,,,,,,,,,,,,,,,,,,,"Lewis, R.E.",,,0,4f4e4aa9e4b07f02db66892f,,,,,,,,
https://pubs.usgs.gov/publication/pp679,39687,pp679,Report,USGS Numbered Series,,"Geology, petroleum development, and seismicity of the Santa Barbara channel region, California",Professional Paper,679,,,,2330-7102,1044-9612,,10.3133/pp679,,,,1969,false,English,U.S. Geological Survey,,,"Report: ix, 77 p.; 3 Plates: 35.50 x 18.50 inches or smaller",,,,,,,,,,,,,United States,California,,,Santa Barbara channel,,,,,,"Vedder, J.G.; Wagner, H. C.; Schoellhamer, J. E.; Yerkes, R.F.; Yenne, K. A.; McCulloh, T. H.; Hamilton, R. M.; Brown, R.D. Jr.; Burford, R. O.; DeNoyer, J. M.",,,5,4f4e4ac9e4b07f02db67c5ff,,,,,,,,
https://pubs.usgs.gov/publication/70225513,70225513,70225513,Conference Paper,Conference Paper,,The new federal OCS regulations in the light of Santa Barbara,,,,,,,,,10.2118/2780-MS,,40,,1969,false,English,Society of Petroleum Engineers,,,"SPE 2780, 1 p.",Book,Conference publication,SPE California regional meeting,,,,,,,40th Annual California Regional Meeting of the Society of Petroleum Engineers of AIME,"San Francisco, CA","November 6-7, 1969",United States,California,,Santa Barbara,,,,,,,"Wayland, Russell G.",,,0,,,,,,,,,
https://pubs.usgs.gov/publication/i547,67322,i547,Report,USGS Numbered Series,,"Geologic map of Fox Mountain quadrangle, Santa Barbara County, California",IMAP,547,NONE,,,,,,10.3133/i547,-,,,1968,false,ENGLISH,,,,1 map.,,,,,,,,,,,,,,,,,,,,24000,,,"Vedder, J.G.",,,1,4f4e4b13e4b07f02db6a3197,,,,,,,,
https://pubs.usgs.gov/publication/ofr68233,53590,ofr68233,Report,USGS Numbered Series,,"Data on wells and springs on Vandenberg Air Force Base and vicinity, Santa Barbara County, California",Open-File Report,68-233,,,,2331-1258,0196-1497,,10.3133/ofr68233,-,,,1968,false,ENGLISH,,,,"iv, 132 p. : maps ; 28 cm.",,,,,,,,,,,,,,,,,,,,,,,"Robson, Stanley G.",,,2,4f4e4ac7e4b07f02db67b583,,,,,,,,
https://pubs.usgs.gov/publication/ofr68182,53413,ofr68182,Report,USGS Numbered Series,,"Reconnaissance of the ground-water resources of the Ellwood-Gaviota area, Santa Barbara County, California",Open-File Report,68-182,,,,2331-1258,0196-1497,,10.3133/ofr68182,-,,,1968,false,ENGLISH,,,,"iv, 50 p.",,,,,,,,,,,,,,,,,,,,,,,"Miller, G.A.; Rapp, J. R.",,,2,4f4e4ad0e4b07f02db68098a,,,,,,,,
https://pubs.usgs.gov/publication/ofr68163,53412,ofr68163,Report,USGS Numbered Series,,"Ground-water resources of the Santa Ynez upland ground-water basin, Santa Barbara County, California",Open-File Report,68-163,,,,2331-1258,0196-1497,,10.3133/ofr68163,-,,,1968,false,ENGLISH,,,,"iv, 42 p., [2] folded leaves of plates : ill., maps ; 27 cm.",,,,,,,,,,,,,,,,,,,,,,,"Lafreniere, G.F.; French, James J.",,,3,4f4e4a96e4b07f02db65a73d,,,,,,,,
https://pubs.usgs.gov/publication/ofr68194,55859,ofr68194,Report,USGS Numbered Series,,"Ground water in Santa Barbara County, California, spring 1966 to spring 1967",Open-File Report,68-194,,,,2331-1258,0196-1497,,10.3133/ofr68194,-,,,1968,false,ENGLISH,,,,"35 p., 12 figs.",,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.; Fenzel, F. W.",,,0,4f4e4ab0e4b07f02db66da8e,,,,,,,,
https://pubs.usgs.gov/publication/wsp1859A,2345,wsp1859A,Report,USGS Numbered Series,,"Ground-water reconnaissance of the Santa Barbara-Montecito area, Santa Barbara County, California",Water Supply Paper,1859,,A,,,,,10.3133/wsp1859A,,,,1968,false,English,U.S. Geological Survey,,,"iv, 28 p.",,,,,,,,,,,,,United States,California,Santa Barbara County,,Santa Barbara-Montecito area,,,,,,"Muir, K. S.",,,2,4f4e4a81e4b07f02db649dde,,,,,,,,
https://pubs.usgs.gov/publication/ofr67164,52612,ofr67164,Report,USGS Numbered Series,,"Ground-water reconnaissance of the Santa Barbara-Montecito area, Santa Barbara County, California",Open-File Report,67-164,,,,2331-1258,0196-1497,,10.3133/ofr67164,-,,,1967,false,ENGLISH,,,,66 p.,,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.",,,0,4f4e4aa7e4b07f02db667086,,,,,,,,
