ID,Page,LOC,LAT-LONG,DATE,TYPE,NOTES
2846,29,"Coachella Valley, California",NA,1948–1967,"Groundwater, Stream, WaterSupply","Groundwater: Mentioned in the context of irrigation return to the groundwater system. Refers to the Whitewater River and its streamflow.
Colorado River water deliveries through the Coachella Canal. Includes miscellaneous recharge sources like Snow Creek, Falls Creek, etc"
2846,46,"Coachella Valley, California",NA,NA,"Groundwater, Stream, WaterSupply","Mentioned extensively in the context of storage, flow, and changes in water levels."
3067,266,"Near Coalinga, California","36°12'55""N, 120°28'10""W",1949-1956,Stream,Refers to Los Gatos Creek and its discharge data.
3067,268,"Miller Crossing, California","37°30'35""N, 119°11'50""W",NA,Stream,"The data refers to records from October 1921 to July 1928 and October 1951 to September 1956, but no specific date is provided. Refers to the San Joaquin River and its discharge data."
10372,13,"San Joaquin Valley, California ",NA,1975-1977,Groundwater,Refers to pumpages
10372,15,NA,NA,NA,NA,
25076,28,"San Joaquin River Basin, California",NA,1911–1927,Stream,"Refers to discharge data for rivers and creeks in the San Joaquin River Basin, including the South Fork of Kern River, Erskine Creek, Basin Creek, and Tejon House Creek."
25076,32,"Three Rivers, California",NA,1902-1927,Stream ,Refers to the Kaweah River
28950,19,"Sacramento, California ",NA,NA,Stream,
38797,3,NA,NA,NA,NA,
38797,8,Cache Creek Drainage Basin,NA,NA,Stream,
48167,27,"Pajaro Valley area, California",NA,1963-1969,Groundwater ,
53419,29,Sulphur Spring (L. O. Pinches),"39°41'45""N, 123°28'46""W",09-29-66,Spring,"Small amount of sulfide, chloride, hydrogen gas. Sodium noted. Odor of flammable gas."
53419,29,"Mud Springs (Branscomb Valley Mud Enterprises, Jackson Springs)","39°39'25""N, 123°35'15""W",09-29-66,Spring,"Abundant bubbles, bicarbonate, carbon dioxide. Sodium in mud springs."
53419,29,California Division of Highways,"39°49'34""N, 123°34'48""W",09-28-66,Spring,Magnesium bicarbonate.
53419,29,Congress Spring (F. A. Stearns),"38°17'04""N, 122°19'41""W",05-06-65,Spring,"Water tastes of travertine. Sodium chloride, carbonated, iron oxide."
53419,29,Pete Imboden,"38°20'50""N, 122°14'06""W",05-11-65,Spring,"Sodium bicarbonate, calcium."
53419,29,"Soda Springs (Napa Soda Springs, Jacksons Springs, Nasser A1)","38°23'23""N, 122°16'39""W",05-06-65,Spring,"Nonflammable gas, large bubbles, calcium bicarbonate, iron oxide. Water tastes carbonated."
53419,29,"Vichy Springs (M. E. Harris, Lepori)","38°20'20""N, 122°15'33""W",05-06-65,Spring,"Calcium bicarbonate, magnesium."
53419,29,California Veterans Home,"38°23'49""N, 122°22'00""W",05-06-65,Spring,"Water covered, discharges into channel. Irrigation use."
53419,29,California Division of Highways,"38°29'04""N, 122°14'29""W",05-07-65,Spring,Water issues from rock along highway. Unused.
53419,29,White Sulphur Springs,"38°29'26""N, 122°29'42""W",05-11-65,Spring,"Sodium chloride, hydrogen sulfide, sulfur odor. White precipitates noted."
56394,254,"Cressey, California","37°27'15""N, 120°36'28""W",1970-1976,Stream ,The table provides daily discharge values (in cubic feet per second) for each month from October 1975 to September 1976.
56394,282,"La Grange, Stanislaus County, California","37°39'59""N, 120°26'28""W ",1970-1976,Stream,"1,538 square miles (3,983 square kilometers)"
