,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,WATERSOURCE_NAME,COUNTY,DATE_OF_DATA,RESOLUTION,WATER_TYPE,water_type
0,2846,29,NA,NA,Whitewater River,NA,1948-1967,annually,Groundwater recharge,
1,2846,29,NA,NA,San Gorgonio Pass subbasin,NA,1948-1967,annually,Groundwater recharge,
2,2846,29,NA,NA,Snow Creek,NA,1948-1967,annually,Groundwater recharge,
3,2846,29,NA,NA,Falls Creek,NA,1948-1967,annually,Groundwater recharge,
4,2846,29,NA,NA,Chino Canyon,NA,1948-1967,annually,Groundwater recharge,
5,2846,29,NA,NA,Tahquitz Creek,NA,1948-1967,annually,Groundwater recharge,
6,2846,29,NA,NA,Palm Canyon,NA,1948-1967,annually,Groundwater recharge,
7,2846,29,NA,NA,Deep Creek (Palm Desert),NA,1948-1967,annually,Groundwater recharge,
8,38797,8,-39.4333,-122.5333,CACHE CREEK DRAINAGE BASIN,CALIFORNIAA3,NA-NA,NA,Stream discharge,
9,53419,29,-38.4322,146.2345,Spring Stearns Inc.,Mendocino,01/01/2020-12/31/2020,Yearly,Groundwater well,
10,3067,268,-123.4567,43.8904,Water Year 1955 - Calendar Year,NA,01/01/1955-12/31/1955,Annual,Groundwater well,
11,3067,268,-123.4567,43.8904,Water Year 1955 - Calendar Year,NA,01/01/1955-12/31/1955,Annual,Groundwater well,
12,3067,268,-123.4567,43.8904,Water Year 1955 - Calendar Year,NA,01/01/1955-12/31/1955,Annual,Groundwater well,
13,10372,13,NA,NA,MOUNT DIABLO BASE LINE AND MERIDIAN,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
14,10372,13,NA,NA,MOUNT DIABLO BASE LINE AND MERIDIAN,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
15,10372,13,NA,NA,SAN BERNARDINO BASE LINE AND MERIDIAN,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
16,10372,13,NA,NA,SAN BERNARDINO BASE LINE AND MERIDIAN,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
17,10372,13,NA,NA,"T. 30 S., R. 27 E.",NA,01/01/1975-31/12/1977,yearly,Groundwater well,
18,10372,13,NA,NA,T. 28 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
19,10372,13,NA,NA,T. 29 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
20,10372,13,NA,NA,T. 30 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
21,10372,13,NA,NA,"T. 31 S., R. 24 E.",NA,01/01/1975-31/12/1977,yearly,Groundwater well,
22,10372,13,NA,NA,25 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
23,10372,13,NA,NA,26 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
24,10372,13,NA,NA,27 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
25,10372,13,NA,NA,28 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
26,10372,13,NA,NA,29 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
27,10372,13,NA,NA,30 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
28,10372,13,NA,NA,"T. 32 S., R. 23 E.",NA,01/01/1975-31/12/1977,yearly,Groundwater well,
29,10372,13,NA,NA,24 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
30,10372,13,NA,NA,25 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
31,10372,13,NA,NA,26 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
32,10372,13,NA,NA,27 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
33,10372,13,NA,NA,28 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
34,10372,13,NA,NA,29 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
35,10372,13,NA,NA,30 E.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
36,10372,13,NA,NA,Tps. 11 & 12 N. 18 W.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
37,10372,13,NA,NA,Tps. 19 W.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
38,10372,13,NA,NA,Tps. 20 W.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
39,10372,13,NA,NA,Tps. 21 W.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
40,10372,13,NA,NA,Tps. 22 W.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
41,10372,13,NA,NA,Tps. 23 W.,NA,01/01/1975-31/12/1977,yearly,Groundwater well,
42,48176,27,-37.2333,122.0167,Pajaro Valley area of California,Santa Cruz County,1963-01-01-1968-12-31,annually,Groundwater well,
43,48176,27,-37.2333,122.0167,Pajaro Valley area of California,Santa Cruz County,1969-01-01-1969-12-31,annually,Groundwater well,
44,3067,266,NA,NA,Table 1,NA,01/01/1970-12/31/2022,daily,Groundwater well,
45,3067,266,NA,NA,Table 2,NA,01/01/1970-12/31/2022,monthly,Precipitation,
46,3067,266,NA,NA,Summary of Key Metrics,NA,01/01/1970-12/31/2022,yearly,Other (Choose a WATER_TYPE that best describes the data),
47,28950,19,NA,NA,HTML Table Structure and Components,NA,01/01/1970-12/31/9999,Yearly,Other (Choose a WATER_TYPE that best describes the data),
48,28950,19,NA,NA,HTML Table Structure and Components,NA,01/01/1970-12/31/9999,Yearly,Other (Choose a WATER_TYPE that best describes the data),
49,28950,19,NA,NA,HTML Table Structure and Components,NA,01/01/1970-12/31/9999,Yearly,Other (Choose a WATER_TYPE that best describes the data),
50,25076,28,36.2,,Erskine Creek near Isabella,,01/01/1894-31/12/1926,monthly,Precipitation,
51,25076,28,36.2,,Erskine Creek near Isabella,,01/01/1894-31/12/1926,monthly,Precipitation,
52,25076,32,-36.4833,119.2167,"Kaweah River at McKay Point, near Lemon Cove",Tulare County,01/1902-12/1926,monthly,Stream discharge,
53,2846,46,NA,NA,Desert Hot Springs,NA,NA-NA,NA,Reservoir,
54,2846,46,NA,NA,Mission Creek,NA,NA-NA,NA,Reservoir,
55,2846,46,NA,NA,Garnet Hill,NA,NA-NA,NA,Reservoir,
56,2846,46,NA,NA,Whitewater River,NA,NA-NA,NA,River/Stream,
57,56394,254,NA,NA,NA,NA,01/10/2022-30/09/2023,monthly,,Stream discharge
58,56394,254,NA,NA,NA,NA,01/10/2022-30/09/2023,monthly,,Stream discharge
