,ID,PAGE_NUMBER,Latitude,Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type
0,1568,390,36.3167,-118.4167,200 feet below Evolution Lake,[],Evolution Creek,Tulare County,08/23/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
1,1568,390,36.3333,-118.4167,"['2,500 feet above French Canyon Creek', '2,000 feet below French Canyon Creek']",[],Piute Creek,Tulare County,08/20/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
2,1568,390,36.3333,-118.4167,400 feet below Muriel Lake,[],Outlet of Muriel Lake,Tulare County,08/21/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
3,1568,390,36.3333,-118.4167,"2,500 feet below Desolation Lake",[],Outlet of Desolation Lake,Tulare County,08/21/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
4,1568,390,36.3333,-118.4167,"1,800 feet below Heart Lake",[],Outlet of Heart Lake,Tulare County,08/18/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
5,1568,390,36.3333,-118.4167,700 feet below outlet of second lake below Heart Lake,[],Outlet of unnamed lake,Tulare County,08/18/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
6,1568,390,36.3333,-118.4167,"At trail crossing, 1,000 feet above mouth",[],Hooper Creek,Tulare County,10/19/1925-02/25/1926,1 month,Sec.-ft.,Stream discharge
7,1568,390,36.3333,-118.4167,"['200 feet below Hilgard Branch', '900 feet below Lake Italy']",[],Bear Creek,Tulare County,08/19/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
8,1568,390,36.3333,-118.4167,400 feet below Marie Lake,[],Outlet of Marie Lake,Tulare County,08/18/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
9,1568,390,36.3333,-118.4167,1 mile below Rose Lake and 400 feet above creek from Marie Lake,[],Outlet of Rose Lake,Tulare County,08/19/1925-09/30/1925,1 day,Sec.-ft.,Stream discharge
10,1568,390,36.3333,-118.4167,"At Cassidy Meadow trail, elevation about 6,500 feet",[],Rube Creek,Tulare County,03/02/1925-09/06/1925,1 month,Sec.-ft.,Stream discharge
11,1568,390,36.3333,-118.4167,100 feet above mouth,[],Dike Creek,Tulare County,11/03/1925-09/13/1925,1 month,Sec.-ft.,Stream discharge
