,ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms
0,70038413,258,,,34.400833,-118.825556,"LA1 34° 24' 03"" , long 118°49'32"" in NE}NE}SW} sec. 25, T.4 N., R.19 W.","['T.4 N., R.19 W., sec. 25']",Hopper Creek near Piru,Ventura County,"10/01/1930-09/30/1932, 10/01/1933-09/30/1936, 10/01/1937-",Daily,cubic feet per second (cfs),Stream Discharge,"['stream', 'discharge', 'gage height', 'rating curve', 'slope-area measurement', 'flow']"
1,2513,289,33.8333,-118.3667,,,"Torrance-Santa Monica area, T. 2 S., R. 13 W.","['T. 2 S., R. 13 W.']",well 618 (Redondo),Los Angeles,,,,Groundwater,"['Pumping data', 'PS']"
2,2513,289,34.0208,-118.4667,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",well 46 (Santa Monica),Los Angeles,,,,Groundwater,"['Dom, Ind', 'C, Cp']"
3,2513,289,34.0208,-118.4667,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",well 49 (Santa Monica),Los Angeles,,,,Groundwater,['L']
4,2513,289,34.0208,-118.4667,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",well 47 (Santa Monica),Los Angeles,,,,Groundwater,['L']
5,2513,289,34.0208,-118.4667,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",well 48 (Santa Monica),Los Angeles,,,,Groundwater,['L']
6,2513,289,34.0208,-118.4667,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",well 52 (Santa Monica),Los Angeles,,,,Groundwater,['L']
7,2513,289,34.0208,-118.4667,,,"Torrance-Santa Monica area, T. 2 S., R. 14 W.","['T. 2 S., R. 14 W.']",well 577 (Santa Monica),Los Angeles,,,,Groundwater,"['Irr', 'C, Cp, L']"
8,199,482,,,40.2027778,-122.1172222,"6.5 miles east of Red Bluff, 1.8 miles upstream from diversion dam of Los Molinos Mutual Water Co., 9.7 miles upstream from mouth",[],ANTELOPE CREEK NEAR RED BLUFF,Tehama County,10/06/1965-09/01/1966,Monthly,"{'pH': '', 'Specific_Conductance': 'micro-mhos at 25°C', 'Sodium_Absorption_Ratio': '', 'Hardness_as_CaCO3_Non_carbonate': 'mg/L', 'Hardness_as_CaCO3_Calcium_Magnesium': 'mg/L', 'Dissolved_solids_Tons_per_day': 'tons/day', 'Dissolved_solids_Tons_per_acre-foot': 'tons/acre-foot', 'Dissolved_solids_Parts_per_million': 'ppm', 'Boron': 'mg/L', 'Nitrate_Nitrite': 'mg/L', 'Fluoride': '', 'Chloride': 'mg/L', 'Sulfate': 'mg/L', 'Carbonate': 'mg/L', 'Bicarbonate': 'mg/L', 'Potassium': 'mg/L', 'Sodium': 'mg/L', 'Magnesium': 'mg/L', 'Calcium': 'mg/L', 'Iron': '', 'Silica': 'mg/L', 'Mean_Discharge_cfs': 'cubic feet per second (cfs)'}",Stream Discharge,"['pH', 'Specific Conductance', 'Sodium Absorption Ratio', 'Hardness as CaCO3', 'Dissolved Solids', 'Boron', 'Nitrate-Nitrite', 'Fluoride', 'Chloride', 'Sulfate', 'Carbonate', 'Bicarbonate', 'Potassium', 'Sodium', 'Magnesium', 'Calcium', 'Iron', 'Silica', 'Mean Discharge']"
9,56807,296,,,38.7389,-122.8266,"Near Cloverdale, CA",['Inferred'],DRY CREEK NEAR CLOVERDALE,Sonoma County,05/01/1965-Current Year,Daily,Degrees Celsius,Stream Discharge,"['WATER-QUALITY', 'RECORDS', 'TEMPERATURES']"
