,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,TIME_RANGE,UNITS_USED,WATER_TYPE,ANNUAL TOTAL,MEAN,MAX,MIN,TOTAL AC-FT,Water_Type,AC-FT,MEAN_WATER_YEAR,MIN_WATER_YEAR,MAX_WATER_YEAR,TOTAL_WATER_YEAR,MEAN_WATER,MAX_WATER,MIN_WATER,TOTAL_WATER,CALNDAR_YEAR
0,56394,282,,,,,,,,,,,40968.0,1322.0,2400.0,513.0,81260.0,,,,,,,,,,,
1,2846,29,NA,NA,NA,Whitewater River,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
2,2846,29,NA,NA,NA,San Gorgonio Pass subbasin,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Groundwater recharge,,,,,,,,,,
3,2846,29,NA,NA,NA,Snow Creek,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
4,2846,29,NA,NA,NA,Falls Creek,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
5,2846,29,NA,NA,NA,Chino Canyon,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
6,2846,29,NA,NA,NA,Tahquitz Creek,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
7,2846,29,NA,NA,NA,Palm Canyon,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
8,2846,29,NA,NA,NA,Deep Creek (Palm Desert),NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
9,2846,29,NA,NA,NA,Miscellaneous,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
10,2846,29,NA,NA,NA,Total,NA,NA,01/01/1948-12/31/1967,yearly,acre-feet,,,,,,,Stream discharge,,,,,,,,,,
11,38797,8,39.0833,-122.75,T 1 N/R 5 E/S NE 1/2,CACHE CREEK DRAINAGE BASIN,"CACHE CREEK DRAINAGE BASIN, CALIFORNIA",CALIFORNIAA3,NA-NA,NA,NA,Stream discharge,,,,,,,,,,,,,,,,
12,38797,8,NA,NA,NA,NA,NA,NA,NA-NA,NA,NA,NA,,,,,,,,,,,,,,,,
13,53419,29,39.7067,-123.4753,"21N/15W -1R,M",Spring Pinches,Spring Pinches,MENDOCINO,09/29/1966-09/29/1966,daily,gpm,Groundwater well,,,,,,,,,,,,,,,,
14,53419,29,39.6578,-123.5922,"21N/15W -19M,M",Mud Enterprises,Springs Valley,MENDOCINO,09/29/1966-09/29/1966,daily,gpm,Groundwater well,,,,,,,,,,,,,,,,
15,53419,29,39.8333,-123.5667,"23N/15W -19L,M",Sulphur White California-Nevada,Original Sulphur Methodist,MENDOCINO,09/28/1966-09/28/1966,daily,gpm,Groundwater well,,,,,,,,,,,,,,,,
