,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,RESOLUTION,UNITS_USED,WATER_TYPE,lat,lng,water_year,ac-ft,mean,max,min,wtr,AC-FT
0,56394,282,,,,,,,,,,,37.7749,-122.4194,1975,81260,1322.0,2400.0,513.0,,
1,2846,29,NA,NA,NA,Whitewater River,San Gorgonio Pass subbasin,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
2,2846,29,NA,NA,NA,San Gorgonio Pass subbasin,Snow Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
3,2846,29,NA,NA,NA,Snow Creek,Falls Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
4,2846,29,NA,NA,NA,Chino Canyon,Tahquitz Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
5,2846,29,NA,NA,NA,Palm Canyon,Deep Creek (Palm Desert),NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
6,2846,29,NA,NA,NA,Deep Creek (Palm Desert),Miscellaneous,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
7,2846,29,NA,NA,NA,Total,Total,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,,,,,,,,
8,38797,8,38.5,-122.5,T 1 N / R 2 E,CACHE CREEK DRAINAGE BASIN,"CACHE CREEK DRAINAGE BASIN, CALIFORNIA",NA,01/01/1990-12/31/2020,DAILY,CFS,STREAM,,,,,,,,,
9,38797,8,38.5,-122.5,T 1 N / R 2 E,CACHE CREEK DRAINAGE BASIN,"CACHE CREEK DRAINAGE BASIN, CALIFORNIA",NA,01/01/1990-12/31/2020,DAILY,CFS,STREAM,,,,,,,,,
10,38797,8,38.5,-122.5,T 1 N / R 2 E,CACHE CREEK DRAINAGE BASIN,"CACHE CREEK DRAINAGE BASIN, CALIFORNIA",NA,01/01/1990-12/31/2020,DAILY,CFS,STREAM,,,,,,,,,
11,53419,29,"38*23'49""N","122*22'00""","6N/4W -2N,M 38*23'23""N,122°16'39""",Spring Pinches,Location,MENDOCINO,9-29-66,,gpm,Groundwater,,,,,,,,,
12,3067,268,9.1,35,13.0,,,,,,,,,,,,,,,,2500
13,3067,268,40.6,80,1002,,,,,,,,,,,,,,,,4750
14,3067,268,1.258,2400,31053,,,,,,,,,,,,,,,,14022
15,10372,13,37.9333333,-121.6333333,"T 30 S, R 27 E",NA,MOUNT DIABLO BASE LINE AND MERIDIAN,NA,01/01/1975-12/31/1977,Yearly,"Acre-feet, rounded to three significant figures",Groundwater,,,,,,,,,
16,10372,13,34.1666667,-117.0666667,"Tps 11 & 12 N, 18 W",NA,SAN BERNARDINO BASE LINE AND MERIDIAN,NA,01/01/1975-12/31/1977,Yearly,"Acre-feet, rounded to three significant figures",Groundwater,,,,,,,,,
17,48176,27,NA,NA,NA,Pumpage year Gross pumpage (acre-feet),"Pajaro Valley Area, California",Santa Cruz County,01/01/1963-12/31/1969,Yearly,Acre-feet,Groundwater,,,,,,,,,
18,48176,27,NA,NA,NA,Pumpage year Gross pumpage (acre-feet),"Pajaro Valley Area, California",Santa Cruz County,01/01/1963-12/31/1969,Yearly,Acre-feet,Groundwater,,,,,,,,,
19,48176,27,NA,NA,NA,Pumpage year Gross pumpage (acre-feet),"Pajaro Valley Area, California",Santa Cruz County,01/01/1963-12/31/1969,Yearly,Acre-feet,Groundwater,,,,,,,,,
20,3067,266,NA,NA,NA,NA,NA,NA,01/01/1955-12/31/1955,DAILY,AC-FEET,GROUNDWATER,,,,,,,,,
21,3067,266,NA,NA,NA,NA,NA,NA,01/01/1955-12/31/1955,DAILY,AC-FEET,GROUNDWATER,,,,,,,,,
22,3067,266,NA,NA,NA,NA,NA,NA,01/01/1955-12/31/1955,DAILY,AC-FEET,GROUNDWATER,,,,,,,,,
23,25076,28,35.5,-118.3,T 1 N/S R 7 E/W S NW/SE fraction,Erskine Creek near Isabella,"Isabella, California",Kern County,10/01/1910-12/31/1912,Daily,Inches,Precipitation,,,,,,,,,
24,25076,28,35.5,-118.3,T 1 N/S R 7 E/W S NW/SE fraction,Erskine Creek near Isabella,"Isabella, California",Kern County,10/01/1910-12/31/1912,Daily,Inches,Precipitation,,,,,,,,,
25,25076,28,35.5,-118.3,T 1 N/S R 7 E/W S NW/SE fraction,Erskine Creek near Isabella,"Isabella, California",Kern County,10/01/1910-12/31/1912,Daily,Inches,Precipitation,,,,,,,,,
26,25076,28,35.5,-118.3,T 1 N/S R 7 E/W S NW/SE fraction,Basin Creek near Havilah,"Havilah, California",Kern County,10/01/1910-12/31/1912,Daily,Inches,Precipitation,,,,,,,,,
27,25076,28,35.5,-118.3,T 1 N/S R 7 E/W S NW/SE fraction,Tejon House Creek at Tejon ranch house,"Tejon Ranch, California",Los Angeles County,10/01/1894-12/31/1896,Daily,Inches,Precipitation,,,,,,,,,
28,25076,32,NA,NA,"T 0 N/S, R 0 E/W, S NE/SE fraction (1/4)","Kaweah River at McKay Point, near Lemon Cove","California, USA",NA,1918-05-01 to 1926-12-31,Daily,cubic feet per second (CFS),Stream,,,,,,,,,
