,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,TOWNSHIPS_RANGES_SECTIONS,WATERSOURCE_NAME,LOCATION,COUNTY,DATE_OF_DATA,RESOLUTION,UNITS_USED,WATER_TYPE,Water_TYPE,Water_Type
0,56394,282,-33.8666667,151.2094444,N 12/16 NE 1/2,,Sydney Olympic Park,,01/07/1995-31/12/2019,DAILY,AC-FT,,Groundwater,
1,56394,282,-33.8666667,151.2094444,,CAL YR,,,01/07/1995-31/12/2019,YEARLY,AC-FT,,,Other (self-define)
2,2846,29,NA,NA,NA,Whitewater River,Whitewater River,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
3,2846,29,NA,NA,NA,San Gorgonio Pass subbasin,San Gorgonio Pass subbasin,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
4,2846,29,NA,NA,NA,Snow Creek,Snow Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
5,2846,29,NA,NA,NA,Falls Creek,Falls Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
6,2846,29,NA,NA,NA,Chino Canyon,Chino Canyon,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
7,2846,29,NA,NA,NA,Tahquitz Creek,Tahquitz Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
8,2846,29,NA,NA,NA,Palm Canyon,Palm Canyon,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
9,2846,29,NA,NA,NA,Deep Creek,Deep Creek,NA,01/01/1948-12/31/1967,yearly,acre-feet,Groundwater,,
10,38797,8,-39.3333,122.4167,T 1 N/S R 2 E/W S NE 1/4,CACHE CREEK DRAINAGE BASIN,"Caches Creek, California","Shasta County, California",01/01/1970-12/31/2022,Yearly,Cumulative,Groundwater,,
11,38797,8,-39.4167,122.5833,T 2 N/S R 3 E/W S SW 1/4,CACHE CREEK DRAINAGE BASIN,"Caches Creek, California","Shasta County, California",01/01/1970-12/31/2022,Yearly,Cumulative,Groundwater,,
12,38797,8,-39.5833,122.75,T 3 N/S R 4 E/W S SE 1/4,CACHE CREEK DRAINAGE BASIN,"Caches Creek, California","Shasta County, California",01/01/1970-12/31/2022,Yearly,Cumulative,Groundwater,,
13,53419,29,NA,NA,"21N/15W -1R,M",Pete Imboden,Water resorts,Mendocino,NA-NA,Daily,gpm,Groundwater,,
14,53419,29,NA,NA,"21N/15W -1R,M",F. A. Congress,Swimming,Napa,NA-NA,Monthly,ppm,Groundwater,,
15,53419,29,NA,NA,NA,NA,Irrigation,NA,NA-NA,Yearly,NA,Groundwater,,
16,3067,268,-NA-,-NA-,"T 0 N/S, R 0 E/W, S NW/1/4",Water Usage Data,Point of Interest,,01/01/1955-12/31/1955,Yearly,Ac-ft,Groundwater,,
17,10372,13,NA,NA,"T 30 S., R. 27 E.",NA,Mount Diablo Base Line and Meridian,NA,01/01/1975-12/31/1977,yearly,acre-feet,Groundwater,,
