DAY,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,585,2380,840,769,478,498,141,17,12,7.9,7.3,36
2,578,2260,860,2330,491,495,102,11,12,7.9,7.3,35
3,581,2600,845,2180,506,495,99,10,12,7.9,7.3,8.6
4,578,2630,853,676,505,501,99,11,12,7.9,7.3,7.6
5,524,587,871,2730,510,501,98,11,12,7.9,7.3,7.5
6,521,523,865,2420,502,501,101,12,9.6,7.9,7.4,7.5
7,928,519,871,1910,501,501,104,12,7.5,7.9,7.5,7.4
8,1360,528,882,1660,501,501,102,12,7.3,7.9,7.4,7.3
9,1420,532,885,2310,501,501,100,12,7.5,7.9,7.5,12
10,1380,526,877,2080,501,501,100,12,7.5,7.9,7.6,9.1
11,1320,530,874,674,500,501,101,12,7.5,4.7,7.5,8.4
12,1160,525,848,2170,502,501,100,12,7.5,6.0,7.6,8.5
13,1400,498,895,1900,498,501,100,12,7.5,7.9,7.5,8.8
14,1510,477,860,1940,499,501,100,12,7.5,7.9,7.5,8.7
15,1570,485,890,1920,498,501,99,12,7.8,7.9,7.5,7.2
16,1660,488,805,1870,494,501,99,12,7.5,7.9,7.3,9.2
17,1910,479,860,1640,494,501,100,12,7.5,7.9,7.1,8.8
18,1870,486,910,635,496,498,101,12,7.5,7.9,7.6,9.0
19,1690,506,880,1830,496,495,100,12,7.5,7.9,7.5,8.6
20,1660,475,2060,1650,498,501,100,12,7.5,7.9,7.1,8.4
21,1550,472,976,1520,499,495,100,12,7.5,7.9,7.0,8.5
22,1460,471,2650,663,492,495,100,12,7.5,7.9,7.5,16
23,1600,490,2480,549,492,498,100,12,7.5,7.9,7.4,26
24,1430,515,2130,559,501,498,100,12,7.8,7.9,8.1,25
25,1360,551,1020,569,501,498,101,12,7.8,7.9,7.6,21
26,513,549,2110,557,501,492,99,12,8.0,358,7.9,20
27,1400,570,1970,656,501,498,100,12,8.0,7.3,7.8,31
28,1520,556,1020,478,501,498,100,12,8.0,7.3,8.0,38
29,1540,553,2510,479,498,498,100,12,8.0,7.3,8.1,36
30,1990,601,2550,462,,507,99,12,8.0,7.3,40,40
31,2400,,2510,470,,498,,12,,7.3,35,
TOTAL,40968,23362,40457,42256,14457,15471,3045,372,252.8,586.9,292.5,485.1
MEAN,1322,779,1305,1363,499,499,102,12.0,8.43,18.9,9.44,16.2
MAX,2400,2630,2650,2730,510,507,141,17,12,358,40,40
MIN,513,471,805,462,478,492,98,10,7.3,4.7,7.0,7.2
AC-FT,81260,46340,80250,83810,28680,30690,6040,738,501,1160,580,962
CAL YR,1975 TOTAL,291087.0,,MEAN 797,MAX 3080,MIN,14,AC-FT 577400,,,,
WTR,,,YR 1976 TOTAL 182005.3 MEAN 497 MAX,,2730,MIN,4.7,AC-FT 361000,,,,
