DAY,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,,169,,,140,162,108,88,118,74,64,51
2,,,,,143,166,115,98,98,64,66,42
3,,,,,128,183,120,112,118,63,82,35
4,,,,,120,180,122,102,125,64,90,28
5,,,,,128,172,146,94,120,63,100,32
6,,,,,146,162,152,102,120,70,80,44
7,,,,,149,155,140,110,112,68,92,54
8,,,,,155,155,143,112,105,68,112,43
9,,,,,162,183,155,98,102,63,105,39
10,,,,,166,176,155,122,98,66,94,40
11,,,,,152,172,176,108,94,77,88,63
12,,,,,155,180,180,80,96,94,65,84
13,,,,,149,162,172,76,100,102,55,108
14,,,,,158,190,176,78,98,98,76,84
15,,,,,155,190,169,72,78,88,110,78
16,,,,,152,176,158,84,57,112,112,74
17,,,,,152,155,172,84,32,96,94,76
18,,,,,149,158,172,77,32,92,94,70
19,,,,,155,166,166,71,34,120,100,94
20,,,,,158,158,152,86,49,102,112,110
21,,,,,155,169,137,88,53,98,118,96
22,,,,,155,166,122,98,42,96,125,108
23,186,,,200,149,140,105,108,44,76,105,84
24,172,,,166,149,140,82,110,41,64,108,92
25,172,,,155,152,146,80,84,42,54,84,92
26,176,,,152,149,149,105,70,54,53,77,100
27,180,,,140,152,143,86,72,80,59,68,100
28,169,,,140,149,152,78,78,65,55,54,84
29,166,,,137,149,146,74,94,65,53,60,76
30,180,,,140,,134,86,125,72,48,86,68
31,180,,,137,,115,,128,,53,65,
TOTAL,,,,,4331,5001,4004,2909,2344,2353,2749,2149
MEAN,,,,,149,161,133,93.8,78.1,75.9,88.7,71.6
MAX,,,,,166,190,180,128,125,120,125,110
MIN,,,,,120,115,74,70,32,48,54,28
AC-FT,,,,,8590,9920,7940,5770,4650,4670,5450,4260
t,26840,2740,2270,2210,2070,44330,52110,83070,80390,95260,76320,42700
