ID,Page,NAME_WATERSOURCE,LOC,LAT-LONG,TOWNSHIP_RANGES,DATE,TIME RANGE,TYPE,Comments,Score (out of 7) ,Percentage 
2846,29,Whitewater River subbasin,"Coachella Valley, California",,,,,Recharge,,,
AH,,yes,yes--but where is it getting this from? ,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
2846,29,Coachella Canal,"Coachella Valley, California",,,,1948–1967,Discharge,,,
AH,,"Yes, but also Colorado River ",yes--but where is it getting this from? ,yes,there is a TRS in the table  caption,"yes, no dates, only years","yes, correct range",,,,
,,1,1,1,0,1,1,1,,6,85.71428571
2846,46,,"Coachella Valley, California",,,,,Groundwater,,,
AH,,There are more names here but it didn't pull any ,Correct,yes,yes,yes,yes,"yes, but groundwater storage",,,
,,0,1,1,1,1,1,1,,6,85.71428571
3067,266,Los Gatos Creek,"Coalinga, California","36°12'55""N, 120°28'10""W","T. 20 S., R. 14 E.",,1955-1956,Streamflow Discharge,,,
AH,,yes,yes--also Tulare Lake Basin (header),yes,"yes, it got most of it--written out hard so understandable",yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
3067,268,San Joaquin River,"Miller Crossing, California","37°30'35""N, 119°11'50""W","T. 5 S., R. 25 E.",,1955-1956,Streamflow Discharge,,,
AH,,yes,yes,yes,"yes it got most of it but not all, same as above",yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
10372,13,Mount Diablo,"San Joaquin Valley, California ",,"T. 30-32 S., R. 23-30 E. ",,1975-1977,Groundwater Pumpage,,,
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
10372,13,San Bernardino,"San Joaquin Valley, California ",,"Tps. 11-12 N., R. 18-23 W.",,1975-1977,Groundwater Pumpage,,,
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
10372,15,,,,,,,,,,
AH,,yes,yes,yes,yes,yes,yes,yes,,,
,,1,1,1,1,1,1,1,,7,100
25076,28,South Fork of Kern River,"Onyx, California",,,,1911–1927,Monthly Discharge,,,
AH,,yes,yes,yes,yes,yes,yes,,,,
,,1,1,1,1,1,1,1,,7,100
25076,28,Erskine Creek,"Isabella, CA",,,,1910–1912,Monthly Discharge,,,
AH,,yes,yes,yes,yes,yes,yes,,,,
,,1,1,1,1,1,1,1,,7,100
25076,28,Basin Creek,"Havilah, CA",,,,1910–1912,Monthly Discharge,,,
AH,,yes,yes,yes,yes,yes,yes,,,,
,,1,1,1,1,1,1,1,,7,100
25076,28,Tejon House Creek,"Tejon House Creek at Tejon Ranch House, CA",,,,1894–1897,Monthly Discharge,,,
AH,,yes,yes,yes,yes,yes,yes,,,,
,,1,1,1,1,1,1,1,,7,100
25076,32,San Joaquin River Basin,"Three Rivers, California",,,,1902-1927,Monthly Discharge,,,
AH,,"yes but this should have pulled ""Kaweah River"" ",yes,yes,yes,yes,yes,,,,
,,0.5,1,1,1,1,1,1,,6.5,92.85714286
25076,32,San Joaquin River Basin,"Lemon Cove, California",,,,1918-1921,Monthly Discharge,,,
,,"yes, but should be Kaweah River",This is technically 'McKay Point near Lemon Cove',yes,yes,yes,yes,,,,
,,0.5,1,1,1,1,1,1,,6.5,92.85714286
28950,19,,,,,,,,,,
