,ID,PAGE_NUMBER,LATITUDE,LONGITUDE,WATERSOURCE_NAME,COUNTY,DATE_OF_DATA,RESOLUTION,WATER_TYPE,water_type
0,56394,282,NA,NA,NA,NA,01/01/1975-12/31/1976,Yearly,,Groundwater
1,56394,282,NA,NA,NA,NA,01/01/1975-12/31/1976,Yearly,,Groundwater
2,2846,29,NA,NA,Whitewater River,NA,1948-1959,yearly,Stream Discharge,
3,2846,29,NA,NA,San Gorgonio Pass subbasin,NA,1948-1959,yearly,Stream Discharge,
4,2846,29,NA,NA,Snow Creek,NA,1948-1959,yearly,Groundwater,
5,2846,29,NA,NA,Falls Creek,NA,1948-1959,yearly,Stream Discharge,
6,2846,29,NA,NA,Chino Canyon,NA,1948-1959,yearly,Groundwater,
7,2846,29,NA,NA,Tahquitz Creek,NA,1948-1959,yearly,Stream Discharge,
8,2846,29,NA,NA,Palm Canyon,NA,1948-1959,yearly,Groundwater,
9,2846,29,NA,NA,Deep Creek (Palm Desert),NA,1948-1959,yearly,Stream Discharge,
10,2846,29,NA,NA,Miscellaneous,NA,1948-1959,yearly,Groundwater,
11,38797,8,34.0,122.0,CACHE CREEK DRAINAGE BASIN Basin 1,NA,NA-NA,NA,Groundwater,
12,38797,8,34.0667,122.0,CACHE CREEK DRAINAGE BASIN Basin 2,NA,NA-NA,NA,Groundwater,
13,53419,29,39.2333,-123.2333,Spring Pinches,MENDOCINO,01/01/2000-12/31/9999,yearly,Springs,
14,53419,29,38.5333,-122.2333,Sulphur L. O.,NAPA,01/01/2000-12/31/9999,yearly,Springs,
15,53419,29,37.2333,-121.5333,Travertine Springs,CALIFORNIA,01/01/2000-12/31/9999,yearly,Springs,
16,53419,29,36.2333,-120.5333,White Ore Moisture,TAYLOR SPRINGS (TN),01/01/2000-12/31/9999,yearly,Springs,
17,10372,13,NA,NA,"T. 30 S., R. 27 E.",NA,01/01/1975-31/12/1977,yearly,Precipitation,
18,10372,13,NA,NA,28 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
19,10372,13,NA,NA,29 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
20,10372,13,NA,NA,30 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
21,10372,13,NA,NA,"T. 31 S., R. 24 E.",NA,01/01/1975-31/12/1977,yearly,Precipitation,
22,10372,13,NA,NA,25 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
23,10372,13,NA,NA,26 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
24,10372,13,NA,NA,27 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
25,10372,13,NA,NA,28 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
26,10372,13,NA,NA,29 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
27,10372,13,NA,NA,30 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
28,10372,13,NA,NA,"T. 32 S., R. 23 E.",NA,01/01/1975-31/12/1977,yearly,Precipitation,
29,10372,13,NA,NA,24 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
30,10372,13,NA,NA,25 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
31,10372,13,NA,NA,26 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
32,10372,13,NA,NA,27 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
33,10372,13,NA,NA,28 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
34,10372,13,NA,NA,29 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
35,10372,13,NA,NA,30 E.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
36,10372,13,NA,NA,Tps. 11 & 12 N. 18 W.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
37,10372,13,NA,NA,19 W.,NA,01/01/1976-31/12/1977,yearly,Precipitation,
38,10372,13,NA,NA,20 W.,NA,01/01/1976-31/12/1977,yearly,Precipitation,
39,10372,13,NA,NA,21 W.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
40,10372,13,NA,NA,22 W.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
41,10372,13,NA,NA,23 W.,NA,01/01/1975-31/12/1977,yearly,Precipitation,
42,48176,27,NA,NA,Pajaro Valley area,California,01/01/1963-31/12/1969,yearly,Irrigation,
43,48176,27,NA,NA,Pajaro Valley area,California,01/01/1963-31/12/1969,yearly,Other,
44,48176,27,NA,NA,Pajaro Valley area,California,01/01/1963-31/12/1969,yearly,Total,
45,48176,27,NA,NA,Pajaro Valley area,California,01/01/1963-31/12/1969,yearly,7-year average,
46,3067,266,NA,NA,NA,NA,24/36-24/36,daily,Precipitation,
47,3067,266,NA,NA,Location 1,NA,March 1955-September 2023,daily,Water Quality,
48,3067,266,NA,NA,Location 2,NA,March 1955-September 2023,daily,Water Quality,
49,28950,19,NA,NA,NA,NA,NA-NA,NA,NA,
50,25076,28,NA,NA,Erskine Creek near Isabella,NA,01/10/1910-09/30/1926,monthly,Stream Discharge,
51,25076,28,NA,NA,Basin Creek near Havilah,NA,01/10/1910-09/30/1926,monthly,Stream Discharge,
52,25076,28,NA,NA,Tejon House Creek at Tejon ranch house,NA,01/10/1910-09/30/1926,monthly,Stream Discharge,
53,25076,32,36.5500,-118.7500,Kaweah River at McKay Point,Tulare,1902-03-1926-07,Yearly,Stream Discharge,
54,25076,32,NA,NA,Kaweah River at McKay Point,Tulare,NA-NA,NA,Stream Discharge,
55,2846,46,NA,NA,Desert Hot Springs,NA,NA-NA,Yearly,Reservoir,
56,2846,46,NA,NA,Mission Creek,NA,NA-NA,Yearly,Reservoir,
57,2846,46,NA,NA,Garnet Hill,NA,NA-NA,Yearly,Reservoir,
58,2846,46,NA,NA,Whitewater River,NA,NA-NA,Yearly,Reservoir,
59,56394,254,NA,NA,OCT,NA,01/10/2022-31/10/2022,DAILY,Precipitation,
60,56394,254,NA,NA,OCT,NA,01/11/2022-30/11/2022,DAILY,Precipitation,
61,56394,254,NA,NA,OCT,NA,01/12/2022-31/12/2022,DAILY,Precipitation,
62,56394,254,NA,NA,OCT,NA,01/01/2023-31/09/2023,DAILY,Precipitation,
