doc_id,page_number,table_index,site_name,json_latitude,json_longitude,year,year_type,peak_date,peak_discharge_cfs,peak_gage_height_ft,mean_discharge_cfs,total_runoff_acre_ft,discharge_unit,quality_flag,notes,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1912,water_year,,,,66.7,48300,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1913,water_year,,,,121,87700,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1928,water_year,,,,26.9,19500,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1929,water_year,,,,26.1,18900,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1930,water_year,,,,24.8,18000,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1931,water_year,,,,23.3,16900,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1932,water_year,,,,114,83000,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1933,water_year,1933-01-19,12000,,44.4,32200,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1934,water_year,1933-12-31,34000,,71.8,52000,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1935,water_year,1935-01-05,12500,,115,83600,cfs,e,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1936,water_year,1936-02-12,7200,,72.6,52730,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1937,water_year,1937-02-14,12800,,236,171000,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1938,water_year,1938-03-02,56000,,330,239000,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1939,water_year,1939-03-09,5000,,63.6,46050,cfs,e,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1940,water_year,1940-02-25,5500,,44.8,32500,cfs,e,"44.8 WY comb mean (OCR ""44,8"")",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1941,water_year,1941-03-04,17300,,519,375600,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1942,water_year,1941-12-28,3150,,58.3,42240,cfs,,Peak Dec 28 1941 falls in WY 1942,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1943,water_year,1943-01-23,44000,,236,170500,cfs,,"OCR merged peak discharge+date: ""44,000Jan."" ""23, 1943""",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1944,water_year,1944-02-22,13000,,197,143100,cfs,,"OCR merged peak discharge+date: ""13,000Feb."" ""22, 1944""",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1945,water_year,1945-02-02,11500,,75.2,54460,cfs,,"OCR merged peak discharge+date: ""11,500Feb."" ""2, 1945""",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1946,water_year,1946-03-30,11300,,89.0,64450,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1947,water_year,1946-12-25,4850,,62.6,45340,cfs,,Peak Dec 25 1946 falls in WY 1947,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1948,water_year,1948-03-24,748,,11.0,7960,cfs,,"OCR: peak discharge (""748Mar."") appeared in date column",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1949,water_year,1949-03-11,725,,12.5,9070,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1950,water_year,1950-02-06,3000,,23.3,16900,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1912,calendar_year,,,,63.4,46000,cfs,,calendar year obs only (combined blank),Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1928,calendar_year,,,,26.0,18900,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1929,calendar_year,,,,23.9,17300,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1930,calendar_year,,,,24.9,18000,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1931,calendar_year,,,,41.0,29700,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1932,calendar_year,,,,98.1,71200,cfs,,,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,0,"Sespe Creek near Fillmore, Calif.",,,1933,calendar_year,,,,60.4,43700,cfs,,"OCR ""60,4"" interpreted as 60.4",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
