doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
56792,80,"MCCLOUD RIVER ABOVE SHASTA LAKE, CA",41.0661,-122.1868,,,Daily to monthly intervals from various years,1951-01/01 to current year,"{'Flow Rate (CFS)': 'cubic feet per second', 'Specific Conductance (μS/cm)': 'microsiemens per centimeter', 'pH (UNITS)': 'unitless', 'Temperature (°C)': 'degrees Celsius', 'Dissolved Oxygen (mg/L)': 'milligrams per liter', 'Chemical Oxygen Demand (mg/L)': 'milligrams per liter', 'Bicarbonate (mg/L)': 'milligrams per liter', 'Chloride (mg/L)': 'milligrams per liter', 'Total Solids (tons/day)': 'tons per day'}"
15,300,Sacramento River near Red Bluff,40.231944,-122.180556,,,Monthly and yearly,1892-09/1935,cubic feet per second (cfs)
604,56,Murrieta Creek,33.483333,-117.147222,,,Daily measurements over months and annual totals,10/01/1946-09/30/1947,"{'Discharge': 'second-feet', 'Gage_Height': 'feet', 'Runoff': 'acre-feet'}"
56845,406,Mokelumne River,,,38.067,-120.815,Monthly intervals on specific dates within the water year from October 1977 to September 1978,10/17/1977-05/04/1978,cells/mL and percent
614,98,San Antonio Creek,34.214,-117.6667,,,Daily measurements over water year October 1947 to September 1948,03/01/1901-09/30/1948,second-feet
3992,42,Colorado River,,,34.9933,-112.443,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Gila River,,,34.9933,-112.443,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Salt River,,,34.9933,-112.443,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Carrizo Creek,,,34.2167,-110.8,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Cibecue Creek,,,34.2167,-110.8,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Chrysotile Canyon Creek,,,34.5,-111.4,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Tonto River,,,34.9933,-112.443,annual,1906-01/01/1963-12/31,mi) (sq mi)
3992,42,Verde River,,,34.54,-112.8,annual,1906-01/01/1963-12/31,mi) (sq mi)
4538,312,Butte Creek,39.733333,-121.7,,,Daily for the water year October 1940 to September 1941,10/01/1930-09/30/1941,"{'Discharge': 'second-feet', 'Runoff': 'acre-feet'}"
15,121,San Joaquin River Main Stem,36.65,-120.19,,,Annual and Monthly,1895-1901; 1947-1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
15,121,Fresno Slough Bypass,36.65,-120.19,,,Annual and Monthly,1947-1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
15,121,San Joaquin River near Mendota,36.809722,-120.376111,,,Annual and Monthly,1939-1950,{'Discharge': 'cubic feet per second (cfs)'}
30518,19,Owens River,37.3631,-118.3676,,,Annual and specific years as listed,1918-01/01/1940-12/31/1948-01/01/1968-12-31,cubic feet per second (ft3/s)
29196,35,Triple Falls Creek,,,,,Annual,1966-1970-01/01/1971-12/31/1980,acre-feet
29196,35,Oak Glen (tunnel),,,,,Annual,1966-1970-01/01/1971-12/31/1980,acre-feet
1607,377,Cajon Creek,34.085,-117.222,34.085,-117.222,Yearly,1932-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,377,Lone Pine Creek,34.085,-117.222,34.085,-117.222,Yearly,1920-01-01-1938-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,377,Day Creek,34.103,-117.228,34.103,-117.228,Yearly,1930-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,377,Cucamonga Creek,34.13,-117.683,34.13,-117.683,Yearly,1929-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,377,San Jacinto River,33.754,-116.974,33.754,-116.974,Yearly,1921-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1520,61,Santa Maria Creek,,,33.0508,-116.8767,As needed during the year,11/06/1912-09/30/1913,"{'Gage height': 'Feet', 'Discharge': 'Sec.-ft'}"
3146,381,Kern River near Kernville,35.707,-118.533,,,Daily measurements over a water year (October to September),10/01/1964-09/30/1965,"{'Temperature': '°F', 'pH': '', 'Specific Conductance': 'microat mhos 25°C', 'Sodium Adsorption Ratio': '', 'Hardness CaCO3': 'as Non-carbonate, Calcium, Magnesium', 'Solids (residue at 180°C)': {'Tons per day': '', 'Tons per acre-foot': '', 'Parts per million': ''}, 'Boron (B)': '', 'Nitrate (NO3)': '', 'Fluoride (F)': '', 'Chloride (Cl)': '', 'Sulfate (SO4)': '', 'Carbonate (CO2)': '', 'Bicarbonate (HCO)': '', 'Potassium (K)': '', 'Sodium (Na)': '', 'Magnesium (Mg)': '', 'Calcium (Ca)': '', 'Iron (Fe)': '', 'Silica (SiO2)': '', 'Mean Discharge': 'cfs'}"
70038392,128,Santa Ana River near Mentone,34.11111,-117.09833,,,Daily (water year October 1960 to September 1961),July 1896 to September 1961,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
2913,87,"Cub River at Franklin, Idaho",42.075,-111.7583333,,,Yearly and Monthly,1946-1950,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}"
56845,330,NORTH FORK STANISLAUS RIVER BELOW SILVER CREEK,38.439444,-120.014722,,,Daily (for daily discharge) and yearly average (monthly table),10/01/1952-09/30/1978,"{'Discharge': 'cubic feet per second, cubic meters per second', 'Gage_Height': 'feet, meters', 'Water_Volume': 'acre-feet, hectometers cubed'}"
2447,154,Tomichi Creek at Parlin,38.498611,-106.726389,,,Annual peak stages,"May 16, 1945 - June 20, 1949","{'Gage_height': 'feet', 'Discharge': 'cfs'}"
2447,154,Quartz Creek near Ohio City,38.559722,-106.636111,,,Annual peak stages,"May 30, 1938 - June 21, 1962","{'Gage_height': 'feet', 'Discharge': 'cfs'}"
4316,28,"Bridgeport Creek near Bodie, Calif",37.7256,-119.2621,37.7256,-119.2621,Annual Peaks (Water Years),1963-,
4316,28,"Dry Creek near June Lake, Calif",37.9191,-119.1372,37.9191,-119.1372,Annual Peaks (Water Years),1964-69,
4316,28,"Rush Creek above Grant Lake, near June Lake, Calif",37.9333,-119.1375,37.9333,-119.1375,Daily or Monthly Figures (Calendar Years),1936-,
4316,28,"Rush Creek near Mono Lake, Calif",37.9294,-119.0536,37.9294,-119.0536,Daily or Monthly Figures (Calendar Years),1910-13,
4316,28,"Lee Vining Creek near Lee Vining, Calif",37.9472,-119.0861,37.9472,-119.0861,Daily or Monthly Figures (Calendar Years),1934-,
4316,28,"Lee Vining Creek near Mono Lake, Calif",37.9294,-119.0536,37.9294,-119.0536,Daily or Monthly Figures (Calendar Years),1910-16,
4316,28,"Virginia Creek (head of Walker River) near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),(1908;1927-*).1953-,
4316,28,"Green Creek near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1953-,
4316,28,"Summers Creek near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1953-59,
4316,28,"Robinson Creek at Twin Lakes outlet, near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1953-,
4316,28,"Robinson Creek near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1910-14,
4316,28,"Buckeye Creek near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1910-14;1953-,
4316,28,"Swager Creek near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1911-15;1953-,
4316,28,"East Walker River near Bridgeport, Calif",38.2667,-119.2333,38.2667,-119.2333,Daily or Monthly Figures (Calendar Years),1911-14*;1921-,
3058,102,"Santa Ana River at county line, below Prado Dam",33.8705556,-117.6713889,,,Irrigation seasons only (varies by year),"{'Start_Date': '01/1919', 'End_Date': '11/1951-09/1960'}","{'Discharge': ['cubic feet per second', 'acre-feet'], 'Water stage': ['feet']}"
3034,140,Cherry Creek near Early Intake,37.894444,-119.961667,,,Annual peaks,07/17/1957-02/09/1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}"
3034,140,South Fork Tuolumne River at Italian Flat,37.816667,-119.916667,,,Annual peaks,02/06/1925-05/28/1933,"{'Gage_height': 'feet', 'Discharge': 'cfs'}"
56418,538,EEL RIVER AT FORT SEWARD,40.2180555556,-123.631666667,,,"{'Chemical_Analyses': 'Water years 1972 to current year (partial-record station)', 'Water_Temperatures': 'November 1960 to current year', 'Sediment_Records': 'October 1965 to current year', 'Turbidity': 'Water years 1966-68, 1971-73 (partial-record station)'}",10/01/1973-09/30/1974,"{'Discharge': 'CFS', 'Nitrate': 'MG/L', 'Nitrite': 'MG/L', 'Ammonia_Nitrogen': 'MG/L', 'Organic_Nitrogen': 'MG/L', 'Kjeldahl_Nitrogen': 'MG/L', 'Phosphorus': 'MG/L', 'Ortho_Phosphorus': 'MG/L', 'Conductance': 'MICRO-MHOS', 'Temperature': 'DFG C', 'Organic_Carbon': 'MG/L', 'Pesticides': 'UG/L'}"
1607,392,Alamitos Creek near Edenvale,37.0625,-121.5625,37.0625,-121.5625,Annual,1930-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,392,Los Gatos Creek at Los Gatos,37.2375,-121.9572222,37.2375,-121.9572222,Annual,1930-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,392,Coyote Creek (Coyote River) near Madrone,37.0,-121.8,37.0,-121.8,Annual,1903-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,392,Coyote Creek (Coyote River) near Edenvale,37.0625,-121.5625,37.0625,-121.5625,Annual,1917-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
15,223,Mokelumne River,38.0168,-120.7269,,,Monthly and yearly,1905-10-01 to 1950-09-30,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}"
15,347,Butt Creek below Almanor-Butt Creek tunnel,40.1167,-121.15,,,Monthly and yearly,1937-10/1950-09,"{'Discharge': 'cubic feet per second', 'Runoff': 'thousands of acre-feet'}"
56411,394,Colma Creek,37.6538889,-122.425,,,Daily measurements over a water year (October to September),10/1963-09/1972,"{'Discharge': 'cubic feet per second (cfs)', 'Area': 'square miles (sq mi) and acre-feet', 'Precipitation': 'inches'}"
716,42,Boulder Creek at Cuyamaca Reservoir,32.9888889,-116.5861111,32.9888889,-116.5861111,Monthly measurements from October to September each year,10/01/1935-09/30/1959,"{'Gage height': 'feet', 'Contents': 'acre-feet', 'Change in contents': 'acre-feet', 'Draft': 'acre-feet', 'Evaporation': 'acre-feet', 'Spill plus leakage': 'acre-feet', 'Runoff': 'acre-feet'}"
56403,131,COLORADO RIVER ABOVE IMPERIAL DAM,,,32.85,-114.66,Monthly (Water Years October 1974 to September 1976),10/01/1974-09/30/1976,{'Cells/ML': 'cells per milliliter'}
667,354,Calaveritas Creek,38.1638889,-120.6583333,,,Daily measurements from October to September of the following year,10/01/1953-09/30/1954,"{'Latitude_Longitude': 'degrees, minutes, seconds (DMS)', 'Gage_Height': 'feet (ft)', 'Discharge': 'cubic feet per second (cfs)'}"
2913,437,Deep Creek below Dismal Creek near Warner Lake,42.0666667,-120.15,,,Monthly and yearly,1913-1919,cubic feet per second (cfs) and acre-feet
51002,143,Bear Canyon Creek Above Storke Diversion,34.5416667,-119.9416667,,,"Various dates throughout the year 1948 and 1949, with some measurements in early 1951",07/03/1948-02/24/1949,"['Second-feet', 'Gals. per min.', 'Temperature (°F)']"
3217,249,Santa Maria River,,,,,Annual,1941-12/31 to 1950-09/30,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,249,Arroyo Grande,35.125,-120.567222,,,Monthly and Annual,1940-10/01 to 1950-09/30,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3034,209,Mill Creek near Los Molinos,40.054722,-122.019444,,,"Daily to monthly, depending on the specific years recorded","Feb. 3, 1929-Sept. 27, 1957","{'Gage_height': 'feet', 'Discharge': 'cfs (cubic feet per second)'}"
2913,120,Malad River at Woodruff,,,41.576389,-112.1,Monthly and yearly,10/01/1939-09/30/1950,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}"
3090,619,Phippe Creek near Lower Lake,38.9975,-122.5544,,,Annual,"01/31/1963-01/20/1964, 01/05/1965","{'Gage Height': 'feet', 'Discharge': 'cfs'}"
3090,619,Putah Creek tributary near Whispering Pines,38.7861,-122.6917,,,Annual,"02/16/1959-01/31/1961, 02/13/1962-02/01/1963, 01/20/1964","{'Gage Height': 'feet', 'Discharge': 'cfs'}"
3090,619,Wragg Creek near Winters,38.4311,-122.1578,,,Annual,"12/22/1964, 01/05/1965","{'Gage Height': 'feet', 'Discharge': 'cfs'}"
3090,619,Putah Creek tributary No. 2 near Winters,38.5083,-122.0417,,,Annual,"02/01/1960-01/31/1961, 02/09/1962-02/01/1963, 01/20/1964","{'Gage Height': 'feet', 'Discharge': 'cfs'}"
2447,256,Slater Fork near Slater,40.983333,-107.383333,,,Daily (based on the regular recording of dates for water year peaks),"May 9, 1911-MM/DD/YYYY","{'Gage Height': 'feet', 'Discharge': 'cfs'}"
3058,364,Panocne Creek below Silver Creek,36.618889,-120.672778,,,Monthly and yearly,10/1949-09/1960,"{'Discharge': ['cubic feet per second', 'acre-feet'], 'Latitude_Longitude': ['degrees']}"
2251,281,Modesto Canal,37.666,-121.013,37.666,-121.013,Daily for 1903-1912 and specific dates within those years,04/01/1903-09/30/1912,"{'Gage_Height': 'Feet', 'Discharge': 'Sec-feet'}"
4538,17,Sacramento River Basin,,,38.5808,-121.4944,annual,1903-1912,cubic feet per second (CFS)
4538,17,San Joaquin River Basin,,,37.2694,-120.9539,annual,1903-1912,cubic feet per second (CFS)
4538,17,Great Basin and Pacific Coast River Basins,,,39.2197,-120.8322,annual,1903-1912,cubic feet per second (CFS)
4538,17,"Southern California, Surface water supply of Pacific slope of",,,34.0522,-118.2437,annual,1913-1918,cubic feet per second (CFS)
4538,17,"Sacramento River Basin, Surface Water Supply",,,38.5808,-121.4944,annual,1919-1927,cubic feet per second (CFS)
4538,17,"San Joaquin River Basin, Surface Water Supply",,,37.2694,-120.9539,annual,1919-1927,cubic feet per second (CFS)
4538,17,"Southern California, Pacific slope basins in",,,34.0522,-118.2437,annual,1927,cubic feet per second (CFS)
4538,17,"California, Minor San Francisco Bay, Northern Pacific and Great basins in",,,37.5375,-122.2915,annual,1927,cubic feet per second (CFS)
431,299,Feather River,,,39.5058,-121.5586,"Daily for the year ending September 30, 1926",10/01/1925-09/30/1926,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft.'}"
1607,406,Merced River at Happy Isles Bridge,,,37.7184,-119.6135,Yearly (Water year ending Sept. 30 and Calendar year),1916-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,406,Merced River at Pohono Bridge,,,37.7299,-119.6133,Yearly,1917-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
1607,406,Merced River at Kittridge (Horseshoe Bend),,,37.6629,-119.6994,Yearly,1923-01-01-1939-12-31,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}"
2252,727,San Roqui Creek,,,,,Variable dates within the year 1890,02/13/1890-09/14/1890,Sec.-feet
251,216,Gila River at and near San Carlos and below Coolidge Dam,,,32.9833,-110.775,Yearly,1901-01/01/1901 to 1938-12/31/1938,"{'Discharge': 'second-feet', 'Runoff': 'acre-feet'}"
3217,366,Klamath River Basin,,,42.1833,-121.8333,Monthly and yearly,October to September of each year from 1911 to 1936,"['cubic feet per second', 'acre-feet']"
431,135,Kern River,,,35.3733,-119.0187,"Daily for the year ending September 30, 1926; Monthly summary for the same period",10/01/1925-09/30/1926,Second-feet and acre-feet
3217,147,Rogers Creek near Azusa,34.16528,-117.90556,,,Monthly measurements from October to September (annual cycle),1917-12/31/1950,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3034,107,Bear Creek near Lake Thomas A. Edison,,,36.9952777778,-119.990277778,Monthly (varies by year),"May 4, 1922 - July 16, 1965","{'Gage height': 'feet', 'Discharge': 'cfs'}"
56850,591,"GAVIOTA CREEK NEAR GAVIOTA, CA",34.4877778,-120.2261111,,,daily measurements within a water year,10/01/1966-Current Year,"{'Discharge': 'cubic feet per second (ft³/s) and cubic meters per second (m³/s)', 'Gage_Height': 'feet (ft) and meters (m)'}"
1520,245,Mokelumne River,,,38.02,-120.77,"Various dates within the year ending September 30, 1913",10/28/1904-09/30/1913,"{'Gage height': 'Feet', 'Discharge': 'Sec.-ft'}"
56404,320,MIDDLE FORK EEL RIVER,,,39.1833,-123.0667,Varied dates within the year 1975-1976,10/06/1975-09/29/1976,"{'Temperature': 'Degrees Celsius (DEG C)', 'Discharge': 'Cubic Feet per Second (CFS)', 'Width': 'Feet (FT)', 'Sediment Bedload Discharge': 'Tons per Day (T/DAY)'}"
70038397,120,SAN JOAQUIN RIVER NEAR VERNALIS,,,37.5833,-120.9667,"Daily measurements from Oct. 7, 1964 to Sept. 15, 1965 for chemical analyses; daily temperature recordings throughout water year 1964-65",10/07/1964-09/15/1965,"{'Discharge': 'cubic feet per second (cfs)', 'Temperature': '°F', 'Chemical Concentrations': 'parts per million (ppm)'}"
2298,20,Cosumnes River,,,37.7,-120.8,5 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Jackson Creek,,,37.7,-120.8,5 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Mokelumne River,,,37.7,-120.8,8 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Calaveras River,,,37.7,-120.8,5 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Stanislaus River,,,37.7,-120.8,11 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Tuolumne River,,,37.7,-120.8,11 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Merced River,,,37.7,-120.8,10 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Chowchilla River,,,37.7,-120.8,5 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,San Joaquin River,,,37.7,-120.8,12 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Kaweah River,,,36.2,-118.8,6 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Tule River,,,36.3,-119.4,9 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
2298,20,Kern River,,,35.8,-118.9,17 years,1906-1906,"{'Area_of_Drainage_Basin': 'Sq. miles', 'Average_Annual_Discharge': 'Acre-feet'}"
70038395,448,Beaver Creek near Klamath River,41.89444,-122.82222,,,"Varies (Occasional low-flow measurements, annual maximum)",March 1959 to November 1964,"{'Discharge': 'cfs', 'Drainage Area': 'sq mi', 'Gage Height': 'ft', 'Flow Measurement': 'acre-ft per year'}"
3067,315,Orestimba Creek near Newman,37.319167,-121.119999,,,"daily for October 1955 to September 1956, monthly data from other years",01/01/1932-09/30/1956,"{'Discharge': 'cfs (cubic feet per second)', 'Gage_Height': 'feet', 'Runoff_in_Acre_Feet': 'acre-feet'}"
4316,24,Amargosa River at Furnace Creek Inn,36.4575,-116.8272,36.4575,-116.8272,Daily or monthly figures (calendar years),1959-09/01/1959-,
4316,24,Amargosa River near Beatty,36.7745,-116.7558,36.7745,-116.7558,Daily or monthly figures (calendar years),1963-09/01/1963-,
4316,24,Horse Thief Creek near Tecopa,35.8647,-116.1694,35.8647,-116.1694,Daily or monthly figures (calendar years),1960-09/01/1970-,
51055,27,San Antonio Creek at Harris,,,34.9455,-120.3839,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Cuyama River near Ventucopa,,,34.9526,-119.8457,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Cuyama River near Santa Maria,,,34.9127,-120.4268,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Santa Maria River at Guadalupe,,,34.9303,-120.4251,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Alamo Creek near Santa Maria,,,34.9219,-120.4363,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Huasna River near Santa Maria,,,34.9062,-120.4497,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Sisquoc River near Sisquoc,,,34.8859,-120.3083,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Sisquoc River near Gary,,,34.8817,-120.2875,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Labrea Creek near Sisquoc,,,34.8789,-120.2958,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Tepusquet Creek near Sisquoc,,,34.8825,-120.3042,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Arroyo Grande at Arroyo Grande,,,35.1433,-120.62,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Whitewater River at Whitewater,,,33.6989,-116.7247,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Palm Canyon Creek near Palm Springs,,,33.8306,-116.5447,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Andreas Creek near Palm Springs,,,33.8336,-116.5267,Annual,1949-12-31 to 1950-12-31,acre-feet
51055,27,Tahquitz Creek near Palm Springs,,,33.8361,-116.5267,Annual,1949-12-31 to 1950-12-31,acre-feet
15,281,Pit River above Hatchet Creek,,,40.7997,-120.7833,Yearly,1926-09-30 to 1937-12-31,cubic feet per second (cfs) and acre-feet
15,281,Montgomery Creek at Montgomery Creek,40.8346,-121.9208,,,Monthly and yearly,1911-10 to 1913-09,cubic feet per second (cfs) and acre-feet
15,281,Pit River near Montgomery Creek,40.8472,-121.975,,,Yearly,1944-10 to 1950-09,cubic feet per second (cfs)
27793,27,Reach 1,,,34.9537,-120.4458,Yearly,04/01/1944-12/31/1972,"Acre-feet per year, Acre-feet per mile"
27793,27,Reach 2,,,34.9637,-120.4358,Yearly,04/01/1944-12/31/1972,"Acre-feet per year, Acre-feet per mile"
27793,27,Reach 3,,,34.9737,-120.4258,Yearly,04/01/1944-12/31/1972,"Acre-feet per year, Acre-feet per mile"
48142,31,San Joaquin Master Drain,,,37.75,-120.7,30 years (1990-2020),01/01/1990-12/31/2020,"{'Discharge': 'cfs', 'BODult': 'Thousands of pounds per day', 'Total Nitrogen as N': 'Thousands of pounds per day', 'Total Phosphorus as P': 'Thousands of pounds per day', 'Chlorides': 'Thousands of pounds per day', 'Dissolved Solids': 'Thousands of pounds per day'}"
14306,7,Redwood Creek at Orick,41.8331,-124.0934,,,Water years 1970-1973 and 1972-1973 storm season,01/01/1970-12/31/1973,"['Cubic feet per second', 'Milligrams per liter']"
14306,7,Redwood Creek near Blue Lake,41.85,-124.1,,,1973 water year,01/01/1973-12/31/1973,"['Cubic feet per second', 'Milligrams per liter']"
14306,7,Redwood Creek at South Park boundary near Crick,41.8333,-124.15,,,Water years 1971-1973,01/01/1971-12/31/1973,"['Cubic feet per second', 'Milligrams per liter']"
26897,21,Warm Creek Floodway,,,34.1088,-117.2775,12 years (1962-1974),10/01/1962-09/30/1974,cubic feet per second (ft3/s)
26897,21,San Bernardino Santa Ana River at E Street,,,34.1106,-117.2949,15 years (1940-1954),10/01/1940-09/30/1954,cubic feet per second (ft3/s)
26897,21,Lytle Creek at Colton,,,34.0569,-117.3085,17 years (1958-1974),10/01/1958-09/30/1974,cubic feet per second (ft3/s)
