doc_id,page_number,table_index,site_name,json_latitude,json_longitude,year,year_type,peak_date,peak_discharge_cfs,peak_gage_height_ft,mean_discharge_cfs,total_runoff_acre_ft,discharge_unit,quality_flag,notes,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1911,water_year,,,,,,cfs,,All data missing for 1911,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1912,water_year,,,,66.7,48300,cfs,o,"Minimum day = 0. Combined water year mean=63.4, runoff=46,000. Calendar year observed mean=63.4, runoff=46,000. No peak discharge recorded.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1913,water_year,,,,121,87700,cfs,o,Minimum day = 0. No peak discharge recorded. Calendar year and combined data missing.,Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1928,water_year,,,,23.1,16800,cfs,o,"Minimum day = 0. Combined water year mean=26.9, runoff=19,500. Calendar year observed mean=22.2, runoff=16,100. Calendar year combined mean=26.0, runoff=18,900.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1929,water_year,,,,23.1,16700,cfs,o,"Minimum day = 0. Combined water year mean=26.1, runoff=18,900. Calendar year observed mean=20.6, runoff=14,900. Calendar year combined mean=23.9, runoff=17,300.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1930,water_year,,,,21.4,15500,cfs,o,"Minimum day = 0. Combined water year mean=24.8, runoff=18,000. Calendar year observed mean=21.6, runoff=15,700. Calendar year combined mean=24.9, runoff=18,000.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1931,water_year,,,,19.8,14300,cfs,o,"Minimum day = 0. Combined water year mean=23.3, runoff=16,900. Calendar year observed mean=37.8, runoff=27,300. Calendar year combined mean=41.0, runoff=29,700.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1932,water_year,,,,110,80200,cfs,o,"Minimum day = 0. Combined water year mean=114, runoff=83,000. Calendar year observed mean=93.1, runoff=67,600. Calendar year combined mean=98.1, runoff=71,200.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1933,water_year,1933-01-19,12000,,38.9,28100,cfs,o,"Minimum day = 0. Combined water year mean=44.4, runoff=32,200. Calendar year observed mean=55.5, runoff=40,200. Calendar year combined mean=60.4, runoff=43,700.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
3217,210,1,"Sespe Creek near Fillmore, Calif.",,,1934,water_year,1933-12-31,34000,,68.0,49300,cfs,o,"Minimum day = 0. Combined water year mean=71.8, runoff=52,000. Calendar year observed mean=72.3, runoff=52,300. Calendar year combined mean=75.5, runoff=54,700.",Sespe Creek,,,,,Yearly,1911-1949,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}"
