doc_id,page_number,watersource_name,temporal_resolution,dates_of_recording,units_of_measurement,latitude,longitude,csv_files
15,369,Orego Creek,Monthly and Yearly,1931-01-01-1950-12-31,"{'Runoff': 'Acre-feet', 'Discharge': 'Cubic feet per second'}",39.7597,-121.5615,"15_page_369_table1.csv,15_page_369_table2.csv"
3058,616,Petaluma River,Monthly and yearly,10/01/1948-09/30/1960,"['cubic feet per second (cfs)', 'acre-feet']",38.261111,-122.659722,"3058_page_616_table1.csv,3058_page_616_table2.csv,3058_page_616_table3.csv"
56808,501,"Snake Creek near Paskenta, CA",Annual,01/14/1978-01/14/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",39.994444,-122.790278,56808_page_501_table1.csv
56808,501,"North Fork Calf Creek near Butte Meadows, CA",Annual,03/05/1978-03/05/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",40.162222,-121.532778,56808_page_501_table1.csv
56808,501,"South Fork Stony Creek near Stonyford, CA",Annual,01/16/1978-01/16/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",39.296111,-122.751944,56808_page_501_table1.csv
56808,501,"South Fork Elk Creek near Elk Creek, CA",Annual,01/16/1978-01/16/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",39.57,-122.677028,56808_page_501_table1.csv
56808,501,"Grindstone Creek tributary at Government Flat, near Covelo, CA",Annual,01/16/1978-01/16/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",39.852222,-122.932778,56808_page_501_table1.csv
56808,501,"North Fork Stony Creek near Newville, CA",Annual,01/16/1978-01/16/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",39.784722,-122.476111,56808_page_501_table1.csv
56808,501,"Scotts John Creek near Stirling City, CA",Annual,06/06/1978-06/06/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",40.1125,-121.425833,56808_page_501_table1.csv
56808,501,"Benner Creek near Chester, CA",Annual,06/05/1978-06/05/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",40.383889,-121.273333,56808_page_501_table1.csv
56808,501,"Poorman Creek near Washington, CA",Annual,01/16/1978-01/16/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",39.36,-120.807778,56808_page_501_table1.csv
56808,501,"Buckeye Canyon Creek tributary near Greenwood, CA",Annual,01/16/1978-01/16/1978,"{'Gage Height': 'feet', 'Discharge': 'cubic feet per second'}",38.921667,-120.962778,56808_page_501_table1.csv
3033,217,Mountain House Creek tributary near Altamont,Annual,02/16/1959-01/19/1965,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",37.745,-121.630556,"3033_page_217_table1.csv,3033_page_217_table2.csv"
3033,217,Mountain House Creek near Midway,Annual,02/16/1959-12/23/1964,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",37.745833,-121.583333,"3033_page_217_table1.csv,3033_page_217_table2.csv"
3033,217,Marsh Creek near Byron,Annual,Prior to 10/01/1958-12/23/1964,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",37.873611,-121.726389,"3033_page_217_table1.csv,3033_page_217_table2.csv"
47988,17,Painter Creek near Redway,Annual,09/01/1961-12/31/1971,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",40.067777,-123.960277,47988_page_17_table1.csv
47988,17,Oil Creek near Ferndale,Annual,09/01/1961-03/25/1971,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",40.514666,-124.286,47988_page_17_table1.csv
47988,17,South Fork Yager Creek near Bridgeville,Annual,08/01/1961-01/16/1971,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",40.548888,-123.824166,47988_page_17_table1.csv
47988,17,Maple Creek near Blue Lake,Annual,08/01/1961-01/16/1971,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",40.781388,-123.877222,47988_page_17_table1.csv
2447,202,"Colorado River near Cisco, Utah",Varies by year,"Apr. 24, 1936-Jun. 23, 1941","{'Gage_Height': 'feet', 'Discharge': 'cubic feet per second (cfs)'}",38.811111,-109.293056,2447_page_202_table1.csv
29192,90,San Francisquito Creek,Annual,1957-05-01-1959-12-31,"{'Water_discharge': 'ft3/s', 'Sediment_discharge_sand': 'ton/d', 'Sediment_discharge_suspended': 'ton/d', 'Sediment_discharge_total': '', 'Annual_yield': 'ton/mi2'}",37.4297,-122.1734,29192_page_90_table1.csv
29192,90,Guadalupe River,Annual,1957-05-01-1959-12-31,"{'Water_discharge': 'ft3/s', 'Sediment_discharge_sand': 'ton/d', 'Sediment_discharge_suspended': 'ton/d', 'Sediment_discharge_total': '', 'Annual_yield': 'ton/mi2'}",37.322,-121.8863,29192_page_90_table1.csv
29192,90,Alameda Creek,Annual,1957-05-01-1959-12-31,"{'Water_discharge': 'ft3/s', 'Sediment_discharge_sand': 'ton/d', 'Sediment_discharge_suspended': 'ton/d', 'Sediment_discharge_total': '', 'Annual_yield': 'ton/mi2'}",37.538,-121.8231,29192_page_90_table1.csv
70038668,493,Butano Creek near Pescadero,Annual,1959-01-13 to 1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Sulphur Creek near St. Helena,Annual,"1956, 1958-01-14 to 1962","{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Sonoma Creek near Kenwood,Annual,"1958-01-12 to 1960, 1962-02-13","{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Robinson Creek near Ukiah,Annual,"1956, 1958-01-13 to 1962","{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Sausal Creek near Healdsburg,Annual,1959-01-13 to 1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Franz Creek near Kellogg,Annual,"1956, 1958-01-13 to 1962","{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Warm Spring Creek at Skaggs Springs,Annual,1959-01-13 to 1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Mill Creek near Healdsburg,Annual,1958-01-13 to 1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Mark West Creek at Mark West Springs,Annual,1958-01-13 to 1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
70038668,493,Big Austin Creek at Cazadero,Annual,1959-01-13 to 1962,"{'Gage_height': 'feet', 'Discharge': 'cfs'}",,,70038668_page_493_table1.csv
2913,36,"Mill Creek near Evanston, Wyo.",Monthly and Yearly,1942-48,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",41.0,-110.8666667,"2913_page_36_table1.csv,2913_page_36_table2.csv,2913_page_36_table3.csv,2913_page_36_table4.csv,2913_page_36_table5.csv"
56792,426,Pine Creek near Westwood,Yearly,06/29/1977-09/14/1977,ft3/s,40.573889,-121.105,56792_page_426_table1.csv
56792,426,Dog Creek at Delta,Yearly,03/01/1977-08/02/1977,ft3/s,40.938056,-122.420278,56792_page_426_table1.csv
56792,426,Turner Creek near Canby,Yearly,06/07/1977-09/08/1977,ft3/s,41.430278,-121.007222,56792_page_426_table1.csv
56792,426,Rush Creek near Adin,Yearly,06/06/1977-09/07/1977,ft3/s,41.263056,-120.893333,56792_page_426_table1.csv
56792,426,Willow Creek below Preston Canyon,Yearly,06/07/1977-09/08/1977,ft3/s,41.083611,-120.900278,56792_page_426_table1.csv
56792,426,Horse Creek at Little Valley near Pittville,Yearly,06/07/1977-09/07/1977,ft3/s,40.899444,-121.172778,56792_page_426_table1.csv
