doc_id,page_number,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
2987,144,Greatest flood events locations (various rivers and creeks),35.0833,-106.65,35.0833,-106.65,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),35.0833,-106.65,35.6667,-106.65,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),35.0833,-106.65,31.8833,-107.5,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),35.6667,-106.65,35.0833,-106.65,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),35.6667,-106.65,35.6667,-106.65,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),35.6667,-106.65,31.8833,-107.5,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),31.8833,-107.5,35.0833,-106.65,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),31.8833,-107.5,35.6667,-106.65,Annual (based on flood events),1912-1936,
2987,144,Greatest flood events locations (various rivers and creeks),31.8833,-107.5,31.8833,-107.5,Annual (based on flood events),1912-1936,
2447,169,Minnesota Creek,38.8667,-107.5,,,Annual Peaks (based on data collection dates),1936-07-10 to 1947-05-11,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
2447,169,Leroux Creek,38.926389,-107.793056,,,Annual Peaks (based on data collection dates),,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}"
3034,136,San Joaquin River,,,,,Annual,04/06/1958-02/19/1965,"{'Gage_height': 'feet', 'Discharge': 'cfs'}"
3034,136,Falls Creek near Hetch Hetchy,37.970833,-119.7625,,,Annual,06/09/1916-05/24/1959,"{'Gage_height': 'feet', 'Discharge': 'cfs'}"
716,747,Annie Creek,,,42.6475,-121.9186,Annual,10-04-1958,cfs (cubic feet per second)
716,747,Wood River,,,42.6528,-121.7322,Annual,10-04-1958,cfs (cubic feet per second)
716,747,Fort Creek,,,42.6445,-121.6979,Annual,10-04-1958,cfs (cubic feet per second)
716,747,Crooked Creek,,,42.7018,-121.8239,Annual,10-03-1958,cfs (cubic feet per second)
716,747,Sevenmile Creek,,,42.6375,-121.8994,Annual,10-04-1958,cfs (cubic feet per second)
716,747,Spencer Creek,,,42.3165,-121.7339,Annual,10-08-1958,cfs (cubic feet per second)
3885,11,Kern River tributaries,,,35.7121,-118.8408,Annual to multiple years,1921-09/01/1922-12/31,
3885,11,"River Bakersfield, Calif",,,35.3695,-119.0171,Annual to multiple years,1893-09/01-,
3885,11,"Kernville, Calif",,,35.6979,-118.8597,Annual to multiple years,,
3885,11,"Kernville, Calif",,,35.7452,-118.7553,Annual to multiple years,1911-09/01-1942-12/31,
