doc_id,page_number,table_index,site_name,actual_content,action,skip_reason,notes
1083,43,1,Suspended-sediment yields of selected rivers of the world,non_streamflow,skipped_not_streamflow,Table contains suspended-sediment yield data (tons per sq mi) and average water discharge for multiple world rivers — not annual streamflow discharge data for a single station.,"Table is a comparative sediment yield table sourced from Holeman (1968). Includes Eel River, California entry with suspended load of ~10,000 tons/sq mi and average discharge of 7 x 10^3 cfs for 1957-67."
1083,16,0,Eel River basin hydrologic units — Precipitation and runoff (adjusted to base period 1900-59),annual,extracted_to_annual,,"Table contains average annual runoff in 1,000's of acre-feet and inches for multiple hydrologic units. Values converted from 1,000's of acre-feet to acre-feet. No year-by-year data; these are period-average values for 1900-1959. Mean discharge in cfs not provided. Extracted as one annual row per station with total_runoff_acre_ft converted from 1,000's. Spaces in numbers (e.g. '1, 738', '5, 720', '6, 808') are Reducto artifacts for 1738, 5720, 6808."
1083,64,1,Eel River above Dos Rios,annual,extracted_to_annual,,"Station 11-4725. Drainage area 705 sq mi. Table also contains suspended-sediment discharge (tons) and yield (tons per sq mi) — water discharge extracted to total_runoff_acre_ft. 1963 Qs value appears as '1,715,0 000' likely 1,715,000. 1964 Qs value appears as '4,2' likely 4.2 (percent column). Avg row included as note only."
1083,64,1,Black Butte River near Covelo,annual,extracted_to_annual,,"Station 11-4729. Drainage area 162 sq mi. Superscript 1 on years 1966 and 1967 — footnote meaning unknown (footnotes at end of table not shown). Avg Qs value shown as '2 702,100' — the '2' is likely a footnote superscript, value is 702,100. Suspended-sediment yield for individual years not listed; avg yield 4,330 tons/sq mi."
1083,64,1,"Middle Fork Eel River below Black Butte River, near Covelo",annual,extracted_to_annual,,"Station 11-4730. Drainage area 367 sq mi. 1965 Qs value '100,000' and yield '27,520' appears anomalously high for yield vs discharge — likely OCR error in Qs; raw value preserved. Avg Qs shown as '2,983,0 000' — likely 2,983,000 (OCR artifact)."
1083,64,1,Middle Fork Eel River near Dos Rios,annual,extracted_to_annual,,"Station 11-4739. Drainage area 745 sq mi. Superscript 3 on water discharge values for years 1958-1965 — footnote meaning unknown. 1961 yield shown as '1, ,138' — likely 1,138. 1966 Qs shown as '4. 330,000' — likely 4,330,000. 1962 percent-discharge column shows '12. 2' for Qs."
1083,64,1,Eel River at Fort Seward,annual,extracted_to_annual,,"Station 11-4750. Drainage area 2,107 sq mi."
1083,65,1,South Fork Eel River near Branscomb,annual,extracted_to_annual,,"Table contains suspended-sediment and water discharge data. Water discharge in acre-feet. Drainage area 43.9 sq mi. Footnote 4 = Hawley and Jones (1969) source. Some sediment values have quality prefix '4' which appears to be footnote marker, not quality flag. Extracting water discharge only as total_runoff_acre_ft."
1083,65,1,South Fork Eel River near Miranda,annual,extracted_to_annual,,Drainage area 537 sq mi. Only 5 years of data present (1958-1962) plus an average row. Water discharge in acre-feet.
1083,65,1,Eel River at Scotia,annual,extracted_to_annual,,"Drainage area 3,113 sq mi. Water discharge in acre-feet. Some sediment values appear OCR-corrupted (e.g. '1, ,528', '10, , 080'). The 1962 water discharge value '764,000' may be truncated (possibly should be larger based on context). The 1965 water discharge '242,000' seems anomalously low but recorded as-is."
