doc_id,page_number,table_index,site_name,actual_content,action,skip_reason,notes
1083,27,1,Station and period of record (water years),non_streamflow,skipped_not_streamflow,"Table contains hydraulic geometry parameters (j values in equation 4) and water discharge ranges, not streamflow discharge measurements (annual or monthly).",Table 1 lists stations with water discharge ranges and j values for a sediment transport equation. Not streamflow time-series data.
1083,27,2,"TABLE 5 - Downstream variations in sediment yield and hydraulic geometry, Eel River basin",non_streamflow,skipped_not_streamflow,"Table contains sediment yield (tons per sq mi) and hydraulic geometry parameters (Q, W, d, V, L, concentration) at Qmean and Q01, not annual or monthly streamflow discharge measurements.",Table 2 (Table 5 in document) contains average sediment yield and hydraulic geometry data for multiple stations. Not streamflow time-series data.
1040,23,1,"San Gorgonio River, San Timoteo Creek, Potrero Creek — precipitation, surface outflow, and recoverable water summary table",non_streamflow,skipped_not_streamflow,"Table contains precipitation, surface outflow, and recoverable water budget values (in acre-feet) for three drainages (San Gorgonio, San Timoteo, Potrero) for 1967 and average annual 1935-65. This is a water balance summary table, not a streamflow time-series table with annual or monthly discharge records.","Table 2 referenced in the text chunk appears to be the source of ratio calculations; this table (Table 1 on the page) summarizes P, Q, and R values for three drainages. No year-by-year or month-by-month streamflow data present."
10428,15,1,"11012500 Campo Creek near Campo, Calif.",annual,extracted_to_annual,,Two-column layout. Years appear to be water years based on period of record starting October 1936. Year 1937 would be water year ending 1937 (Oct 1936 - Sep 1937). Values of 0 treated as 0.0.
1136,190,1,"Cache Creek near Yolo, Cal.",non_streamflow,skipped_not_streamflow,"Rating table (gage height vs discharge lookup), not a streamflow measurement table",
1136,190,2,"Cache Creek near Yolo, Cal.",monthly,extracted_to_both,,"Drainage area 1,230 square miles. 'b' footnote on March 1907: discharges for high-water period may be too large. Creek was dry from August 2 to December 31, 1908. Some values appear OCR-affected (e.g. April 1907 Minimum ',210' interpreted as 1,210; February 1908 Mean ',950' interpreted as 1,950; May 1908 Total '19,10' interpreted as 19,100; December 1907 Total '1,160' likely 11,600 per OCR artifact). Accuracy codes: A, B, C, D noted in original."
1084,90,1,Stony Creek near Fruto,annual,extracted_to_annual,,"Station at Julian's ranch, about 7 miles northwest of Fruto, in the SW. NE. 1/2 sec. 14, T. 21 N., R. 6 W.; drainage area, 601 square miles. Year 1908-9 mean discharge printed as ',260' interpreted as 1,260. Year 1909-10 depth in inches printed as '10.955' kept as-is."
1084,90,2,Feather River at Oroville,annual,extracted_to_annual,,"Table header not present in chunk; inferred from batch metadata row 1 (Feather River at Oroville). Year 1902-3 mean discharge printed as ',140' interpreted as 9,140 (context: surrounding values are in the 3,000-13,000 range; leading comma = thousands artifact). Year 1913-14 mean printed as '10,70' likely 10,700. Drainage area inferred from batch metadata ~3,640 sq mi based on run-off per sq mile values."
1084,90,3,Yuba River at Smartsville,annual,extracted_to_annual,,"Station one mile north of Smartsville, at The Narrows, in sec. 22, T. 16 N., R. 6 E.; drainage area, 1,220 square miles. Year 1906-7 max printed as '100,00' interpreted as 100,000. Year 1908-9 max printed as '111,0' interpreted as 111,000. Year 1913-14 mean printed as ',960' interpreted as 3,960 (leading comma artifact). Several years missing per-sq-mile and depth columns."
10430,35,1,Sweetwater River,annual,extracted_to_annual,,
1084,89,1,Sacramento River near Red Bluff,annual,extracted_to_annual,,"Station at lower end of Iron Canyon, 4 miles above Red Bluff; drainage area 10,400 square miles. Several values appear truncated or garbled by OCR (e.g. '290,00', '7,720,00', '6,370,00', '6,8,44,000', '500,00', '890,00'). 1902 partial year (Feb-Sept). 1903-4 runoff '15,900,000' appears too large compared to neighbors — may be OCR artifact for '15,900,000' or similar; recorded as printed. 1909-10 minimum '760' appears low; recorded as printed. Some minimum values have leading comma (e.g. ',420', ',390', ',880') interpreted as missing leading digit — noted below per row."
1136,198,1,"North Fork of Feather River above Prattville, Cal.",daily,skipped_daily,"Table contains individual discharge measurements by date (spot measurements), not annual or monthly streamflow summaries.","Discharge measurements table with individual dates in 1905 and 1906, not aggregated annual or monthly data."
1083,43,1,Selected rivers of the world (Suspended-sediment yields),non_streamflow,skipped_not_streamflow,Table contains suspended-sediment yield and water discharge data for various world rivers — not a standard annual/monthly streamflow table for a single USGS station.,Table 7 from Holeman (1968); includes Eel River-California entry with footnote referencing this report.
1084,92,1,Putah Creek at Winters,annual,extracted_to_annual,,"About 600 feet below railroad bridge; drainage area, 805 square miles. 1910-11 is partial year (Oct. to May 16). 1911-12 has no data. Some years missing per-square-mile and depth columns. '091,000' for 1906-7 likely 691,000 (OCR artifact) — left as printed. '346' for 1907-8 per-square-mile likely 0.346 — not in extracted columns. Values for 1906-7 total_runoff printed as '091,000' — possible OCR error for 691,000, recorded as printed."
1084,92,2,Sacramento River at Collinsville,annual,extracted_to_annual,,"Table header is 'Sacramento River at Collinsville' inferred from batch metadata; text header only says 'Stream flow in Sacramento River basin-Continued.' No maximum or minimum discharge columns present. 1878-79 is partial year (Nov.-Sept.), mean discharge not given. '958' for 1884-85 per-square-mile likely 0.958 — not in extracted columns."
1136,227,1,"Bear River at Van Trent (Sacramento River Basin) - January 1 to March 25, 1907",non_streamflow,skipped_not_streamflow,"This is a gage height-to-discharge rating table, not a time-series streamflow record. It lists paired gage height and discharge values used for computing discharge, not measured streamflow over time.",
1136,227,2,"Bear River at Van Trent (Sacramento River Basin) - January 1 to March 25, 1907",non_streamflow,skipped_not_streamflow,"Continuation of a gage height-to-discharge rating table. Paired gage height and discharge values only, not time-series streamflow data.",
1136,227,3,"Bear River at Van Trent (Sacramento River Basin) - January 1 to March 25, 1907",non_streamflow,skipped_not_streamflow,"Another gage height-to-discharge rating table (likely for a different period or channel condition). Paired gage height and discharge values only, not time-series streamflow data.",
1084,91,1,Bear River at Van Trent,annual,extracted_to_annual,,"Station located about 500 feet below the highway bridge at McCourtney crossing, 1 mile below Van Trent post office, and 8 miles above Wheatland, in the SE. 1/4 sec. 2, T. 14 N., R. 6 E.; drainage area, 263 square miles. 1907-8 maximum appears as '2, ,350' interpreted as 2350. Year 1908-9 total_runoff printed as '280,000' for cache creek row but here correctly 525,000."
1084,91,2,American River at Fairoaks,annual,extracted_to_annual,,"Station at Fairoaks highway bridge, about 1,500 feet north of the railroad station; drainage area, 1,910 miles. Table header row is missing (continuation from prior station). Several mean values have leading comma (OCR artifact) interpreted as thousands (e.g. ',930'=5930, ',000'=2000, ',740'=1740, ',230'=4230, ',960'=1960). 1909-10 max printed as '47,00' interpreted as 47000. Year 1917-18 max is blank."
