water_type_final,county_spatial,n_tables,n_measurements
Groundwater,Santa Barbara,1490,18773.0
Groundwater,Los Angeles,823,16588.0
Groundwater,Imperial,440,8284.0
Groundwater,San Bernardino,413,5893.0
Groundwater,Kern,340,4220.0
Groundwater,Riverside,280,3884.0
Groundwater,Fresno,257,6147.0
Groundwater,Sonoma,208,2153.0
Groundwater,San Joaquin,181,2853.0
Groundwater,Siskiyou,178,1422.0
Groundwater,San Diego,170,2179.0
Groundwater,Calaveras,169,3753.0
Groundwater,Santa Clara,160,4763.0
Groundwater,Orange,159,2992.0
Groundwater,Napa,146,1817.0
Groundwater,Solano,140,2613.0
Groundwater,Sacramento,125,2750.0
Groundwater,San Luis Obispo,123,1159.0
Groundwater,Stanislaus,122,2536.0
Groundwater,Tulare,122,2164.0
Groundwater,Yolo,121,2241.0
Groundwater,Inyo,68,1122.0
Groundwater,Merced,63,1045.0
Groundwater,Amador,62,1200.0
Groundwater,Kings,58,1224.0
Groundwater,Humboldt,57,635.0
Groundwater,Madera,57,1086.0
Groundwater,Placer,57,761.0
Groundwater,Mendocino,48,287.0
Groundwater,Lake,44,417.0
Groundwater,Alameda,41,804.0
Groundwater,Ventura,35,306.0
Groundwater,Monterey,33,644.0
Groundwater,Mono,31,416.0
Groundwater,Butte,27,358.0
Groundwater,Tehama,27,274.0
Groundwater,Shasta,26,348.0
Groundwater,Contra Costa,22,566.0
Groundwater,Del Norte,20,138.0
Groundwater,Glenn,20,315.0
Groundwater,El Dorado,18,405.0
Groundwater,Modoc,18,98.0
Groundwater,Nevada,16,297.0
Groundwater,Santa Cruz,15,348.0
Groundwater,Sutter,15,159.0
Groundwater,Tuolumne,15,271.0
Groundwater,San Benito,14,336.0
Groundwater,Yuba,14,112.0
Groundwater,Alpine,13,113.0
Groundwater,San Mateo,13,213.0
Groundwater,Trinity,11,119.0
Groundwater,Colusa,10,106.0
Groundwater,Mariposa,10,216.0
Groundwater,Plumas,7,192.0
Groundwater,Lassen,5,85.0
Groundwater,Marin,2,127.0
Groundwater,San Francisco,2,46.0
Groundwater,Sierra,2,23.0
Irrigation,Stanislaus,119,2833.0
Irrigation,Butte,65,1810.0
Irrigation,San Bernardino,63,1685.0
Irrigation,Santa Barbara,63,498.0
Irrigation,Imperial,58,1521.0
Irrigation,Los Angeles,53,1154.0
Irrigation,Fresno,41,865.0
Irrigation,Tuolumne,39,940.0
