Publication ID,URL,Title,Series title,Series number,Year Published,Author(s),State,Description
1751,https://pubs.usgs.gov/publication/wsp17,"Irrigation near Bakersfield, California",Water Supply Paper,17,1898,"Grunsky, Carl Ewald",,"96 p. :illus., xvi pl. (incl. maps) ;23 cm."
1752,https://pubs.usgs.gov/publication/wsp18,"Irrigation near Fresno, California",Water Supply Paper,18,1898,"Grunsky, Carl Ewald",,"94 p. :illus., XIV pl. (incl. maps) ;23 cm."
35575,https://pubs.usgs.gov/publication/b89,"Some lava flows of the western slope of the Sierra Nevada, California",Bulletin,89,1898,"Ransome, F. L.",,"74, ix p. :xi pl. (incl. maps) ;24 cm."
1753,https://pubs.usgs.gov/publication/wsp19,"Irrigation near Merced, California",Water Supply Paper,19,1899,"Grunsky, Carl Ewald",,"59 p. :illus., XI pl. (incl. maps) ;23 cm."
1128,https://pubs.usgs.gov/publication/wsp45,"Water storage on Cache Creek, California",Water Supply Paper,45,1901,"Chandler, Albert Edward",,"48 p., x pl. :ill. ;23 cm."
2415,https://pubs.usgs.gov/publication/wsp46,"Physical characteristics of Kern River, California and Reconnaissance of Yuba River, California",Water Supply Paper,46,1901,"Olmstead, Frank Henry; Manson, Marsden",,57 p. :ill. ;23 cm.
2131,https://pubs.usgs.gov/publication/wsp59,"Development and application of water near San Bernardino, Colton, and Riverside, Cal., part I",Water Supply Paper,59,1902,"Lippincott, Joseph Barlow",California,95 p.
2132,https://pubs.usgs.gov/publication/wsp58,"Storage of water on Kings River, California",Water Supply Paper,58,1902,"Lippincott, Joseph Barlow",,"101 p. :illus., XXXII pl. (incl. maps, plans) ;23 cm."
2799,https://pubs.usgs.gov/publication/wsp68,"Water storage in the Truckee Basin, California-Nevada",Water Supply Paper,68,1902,"Taylor, Leon Henry",,"90 p. :illus., viii pl. ;23 cm."
3133,https://pubs.usgs.gov/publication/wsp60,"Development and application of water near San Bernardino, Colton, and Riverside, California: Part II",Water Supply Paper,60,1902,"Lippincott, Joseph Barlow",,2 v. 97-141 p. (WSP 59 & WSP 60) :XI pl. (incl. map) diagrs. ;23 cm.
1166,https://pubs.usgs.gov/publication/wsp86,"Storage reservoirs on Stony Creek, California",Water Supply Paper,86,1903,"Cole, Burt",,"62 p., 1 l. :illus., XVI pl. (incl. plans) ;23 cm."
