id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording,temporal_resolution,units_of_measurement,water_type,keyterms,id_page_number
10060,4,32.8498,-115.5826,,,"California, USA",[],Ground-water levels,,Imperial County,,,,Groundwater,['Ground-water levels'],10060_4
10060,4,32.8498,-115.5826,,,"California, USA",[],All-American Canal system,,Imperial County,,,,Stream Discharge,"['All-American Canal system hydrology', 'Seepage from canals']",10060_4
10060,6,32.9,-115.5,,,California,[],All-American Canal,"Imperial County, Riverside County","Imperial County, Riverside County",,,,Irrigation,['All-American Canal'],10060_6
10060,6,32.9,-115.5,,,California,[],Pilot Knob to Drop 1 reach of All-American Canal,"Imperial County, Riverside County","Imperial County, Riverside County",,,,Irrigation,"['Pilot Knob', 'Drop 1 reach of All-American Canal']",10060_6
10060,6,32.9,-115.5,,,California,[],Coachella Canal,"Imperial County, Riverside County","Imperial County, Riverside County",,,,Irrigation,"['Coachella Canal', 'lined', 'All-American Canal', 'well field']",10060_6
10166,11,37.995,-119.0278,,,Mono Lake,[],The Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,37.9882,-119.0191,,,"Paoha Island, Mono Lake",[],Blayney Meadows Hot Springs,Mono County,,01/2014-12/2014,,mg/L,Springs,"['hot springs', 'bicarbonate']",10166_11
10166,11,37.99,-119.0222,,,Mono Lake,[],Keough Hot Springs,Mono County,,01/2014-12/2014,,mg/L,Springs,"['hot springs', 'bicarbonate']",10166_11
10166,11,37.9922,-119.025,,,Mono Lake,[],Benton Hot Springs,Mono County,,01/2014-12/2014,,mg/L,Springs,"['hot springs', 'bicarbonate']",10166_11
10166,11,37.995,-119.0278,,,"North Shore, Mono Lake",[],"Unnamed hot springs (N. Shore, Mono Lake)",Mono County,,01/2014-12/2014,,mg/L,Springs,"['hot springs', 'bicarbonate']",10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Grovers Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Mono Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Reds Meadow Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,38.0022,-119.03,,,"Paoha Island, Mono Lake",[],"Unnamed hot springs (Paoha Island, Mono Lake)",Mono County,,01/2014-12/2014,,mg/L,Springs,"['hot springs', 'bicarbonate']",10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Fales Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Buckeye Hot Spring,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Travertine Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
10166,11,37.995,-119.0278,,,Mono Lake,[],Brockway Hot Springs,,Mono County,,,,Springs,['hot springs'],10166_11
