id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording,temporal_resolution,units_of_measurement,water_type,keyterms
sb3,2,34.4383,-119.5907,,,"Carpinteria, California",[],Carpinteria Basin,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Carpinteria Basin', 'water levels']"
sb3,2,34.4389,-119.8373,,,"Goleta, California",[],Goleta Basin,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Goleta Basin', 'water levels']"
sb3,2,34.6598,-120.0503,,,"Santa Ynez, California",[],Santa Ynez River Valley,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Stream Discharge,"['Santa Ynez River Valley', 'water levels']"
sb3,2,34.9378,-120.1775,,,"Near San Antonio, California",[],San Antonio Creek Valley,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Stream Discharge,"['San Antonio Creek Valley', 'water levels']"
sb3,2,34.9536,-120.4342,,,"Santa Maria, California",[],Santa Maria Valley,Santa Barbara County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Santa Maria Valley', 'water levels']"
sb3,2,34.9807,-120.3569,,,"Cuyama, California",[],Cuyama Valley,Santa Barbara County and San Luis Obispo County,Santa Barbara County,Unknown,Unknown,Not Specified,Groundwater,"['Cuyama Valley', 'water levels']"
sb3,6,,,,,"Carpinteria Basin, Santa Barbara County",[],Carpinteria Basin,Santa Barbara County,,1960-01/01/1960-12/31/1960,,,Groundwater,['observation wells']
sb3,6,,,,,"Goleta Basin, Santa Barbara County",[],Goleta Basin,Santa Barbara County,,1960-01/01/1960-12/31/1960,,,Groundwater,['observation wells']
sb3,6,,,,,"Santa Ynez River Valley, Santa Barbara County",[],Santa Ynez River valley,Santa Barbara County,,1960-01/01/1960-12/31/1960,,,Stream Discharge,"['observation wells', 'recording gages']"
sb3,6,,,,,"San Antonio Creek Valley, Santa Barbara County",[],San Antonio Creek valley,Santa Barbara County,,1960-01/01/1960-12/31/1960,,,Stream Discharge,['observation wells']
sb3,6,,,,,"Santa Maria Valley, Santa Barbara County",[],Santa Maria Valley,Santa Barbara County,,1960-01/01/1960-12/31/1960,,,Groundwater,"['observation wells', 'recording gages']"
sb3,6,,,,,"Cuyama Valley, Santa Barbara County",[],Cuyama Valley,Santa Barbara County,,1960-01/01/1960-12/31/1960,,,Groundwater,['observation wells']
sb3,20,,,,,"T. 4 N., R. 25 W., sec. 19, T. 4 N., R. 25 W.",['4/25-19F4'],Observation Well 4/25-19F4,Santa Barbara County,,,,feet below land-surface datum,Groundwater,"['observation wells', 'ground-water basins', 'well numbers', 'rectangular system of subdivision']"
sb3,22,34.4406,-119.5972,34.4406,-119.5972,"Carpinteria, California",[],Carpinteria,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Carpinteria', 'water levels']"
sb3,22,34.4418,-119.8496,34.4418,-119.8496,"Goleta, California",[],Goleta,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Goleta', 'water levels']"
sb3,22,34.6422,-120.0594,34.6422,-120.0594,"Santa Ynez, California",[],Santa Ynez,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Santa Ynez', 'water levels']"
sb3,22,34.9486,-120.0592,34.9486,-120.0592,"San Antonio, California",[],San Antonio,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['San Antonio', 'water levels']"
sb3,22,34.9539,-120.4358,34.9539,-120.4358,"Santa Maria, California",[],Santa Maria,,Santa Barbara County,01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Santa Maria', 'water levels']"
sb3,22,34.9533,-119.6961,34.9533,-119.6961,"Cuyama Valley, California",[],Cuyama,,"San Luis Obispo County, Santa Barbara County",01/01/YYYY-12/31/YYYY,Monthly,Feet above mean sea level,Stream Discharge,"['Cuyama', 'water levels']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",19F4,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",J5,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",20L4,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",21N3,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",R1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",22R1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",25L1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",26A1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",C2,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",27Q2,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",R2,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",28J1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",M1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",29D1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",L1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",R1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",30D1,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 25 W.","['T. 4 N., R. 25 W.']",D2,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 26 W.","['T. 4 N., R. 26 W.']",35A3,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 26 W.","['T. 4 N., R. 26 W.']",M5,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,25,34.434,-119.6782,,,"Carpinteria Basin, T. 4 N., R. 26 W.","['T. 4 N., R. 26 W.']",23A2,Santa Barbara County,Santa Barbara County,01/01/2023-12/31/2023,Monthly,Feet,Groundwater,"['Well', 'Feet']"
sb3,27,34.4356,-119.6958,,,"T. 4 N., R. 25 W.","['[T. 4 N., R. 25 W.]']",M. F. Lewis,Carpinteria County Water District,Santa Barbara,04/58-1941-09/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Lyman and Young,,Santa Barbara,04/42-1941-09/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Carp. County Wtr. Dist.,,Santa Barbara,03/55-1949-09/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],E. Bonebakker,,Santa Barbara,06/41-1941-11/54,Monthly,feet,Irrigation,"['Well', 'Ir']"
sb3,27,34.4356,-119.6958,,,,[],Ben Moore,,Santa Barbara,06/45-1941-11/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],A. E. Pruner,,Santa Barbara,04/44-1941-12/57,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Solari and Schweizer,,Santa Barbara,04/57-1941-12/49,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Moses Mesa Assoc. Co.,,Santa Barbara,02/46-1946-11/55,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Shepard Mesa Mut. Wtr. Co.,,Santa Barbara,05/46-1946-11/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],A. F. Heimlich,,Santa Barbara,04/45-1941-09/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],W. H. Yule,,Santa Barbara,04/45-1941-09/51,Monthly,feet,Irrigation,"['Well', 'Ir']"
sb3,27,34.4356,-119.6958,,,,[],W. C. and C. A. Catlin,,Santa Barbara,06/19-1919-10/60,Monthly,feet,Irrigation,"['Well', 'Ir']"
sb3,27,34.4356,-119.6958,,,,[],Mrs. A. Baylor,,Santa Barbara,04/45-1941-08/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],H. W. Sturmer,,Santa Barbara,04/42-1928-09/51,Monthly,feet,"['Groundwater', 'Irrigation']","['Well', 'Dm, Ir']"
sb3,27,34.4356,-119.6958,,,,[],A. P. Salzgeber,,Santa Barbara,05/58-1950-09/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Carp. Union High School,,Santa Barbara,04/42-1941-08/55,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Sandyland Beach Club,,Santa Barbara,05/38-1938-11/51,Monthly,feet,Flowing Water,['Un']
sb3,27,34.4356,-119.6958,,,,[],Calif. Highway Dept.,,Santa Barbara,06/58-1949-09/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],E. H. Bates,,Santa Barbara,03/45-1941-09/60,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,27,34.4356,-119.6958,,,,[],Jack Rose,,Santa Barbara,05/49-1949-11/56,Monthly,feet,"['Groundwater', 'Irrigation']","['Dm, Ir']"
sb3,27,34.4356,-119.6958,,,"T. 4 N., R. 26 W.","['[T. 4 N., R. 26 W.]']",Frank Wymond,,Santa Barbara,04/50-1941-04/51,Monthly,feet,Groundwater,"['Well', 'Un']"
sb3,29,-34.443333,-119.846111,,,"Goleta Basin, T. 4 N., R. 27 W.","['T. 4 N., R. 27 W.']",Well 6Q9,Santa Barbara County,Santa Barbara County,01/01/2022-12/31/2022,Monthly,Not Specified,Groundwater,"['Well', 'Measurement', 'Groundwater']"
sb3,29,-34.443333,-119.846111,,,"Goleta Basin, T. 4 N., R. 27 W.","['T. 4 N., R. 27 W.']",Well 7J2,Santa Barbara County,Santa Barbara County,01/01/2022-12/31/2022,Monthly,Not Specified,Groundwater,"['Well', 'Measurement', 'Destroyed']"
sb3,29,-34.443333,-119.846111,,,"Goleta Basin, T. 4 N., R. 27 W.","['T. 4 N., R. 27 W.']",Well N1,Santa Barbara County,Santa Barbara County,01/01/2022-12/31/2022,Monthly,Not Specified,Groundwater,"['Well', 'Measurement']"
sb3,29,-34.443333,-119.846111,,,"Goleta Basin, T. 4 N., R. 27 W.","['T. 4 N., R. 27 W.']",Well 18R2,Santa Barbara County,Santa Barbara County,01/01/2022-12/31/2022,Monthly,Not Specified,Groundwater,"['Well', 'Measurement']"
sb3,29,-34.443333,-119.846111,,,"Goleta Basin, T. 4 N., R. 27 W.","['T. 4 N., R. 27 W.']",Well 21B1,Santa Barbara County,Santa Barbara County,01/01/2022-12/31/2022,Monthly,Not Specified,Groundwater,"['Well', 'Measurement']"
sb3,29,-34.443333,-119.846111,,,"Goleta Basin, T. 4 N., R. 28 W.","['T. 4 N., R. 28 W.']",Well 2N2,Santa Barbara County,Santa Barbara County,01/01/2022-12/31/2022,Monthly,Not Specified,Groundwater,"['Well', 'Measurement']"
