id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review
sb3,27,34.4356,-119.6958,,,,[],Sandyland Beach Club,,Santa Barbara,05/38-1938-11/51,Monthly,feet,Flowing Water,['Un'],additional,sb3_27,34.4356,-119.6958,,Flowing Water,1938,1938,[1938],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",E4,,Santa Barbara County,03/52-1947 to 07/48-1947,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Observation Well,"['Well', 'USGS, Union Sugar Co.', 'Ob']",additional,sb3_51,34.6788,-120.0539,,Observation Well,1947,1947,[1947],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",24J1,,Santa Barbara County,05/41-1941 to 04/48-1941,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Unspecified Use,"['Well', 'Tom M. Parks', 'Un']",additional,sb3_51,34.6788,-120.0539,,Unspecified Use,1941,1941,[1941],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",K4,,Santa Barbara County,02/59-1953 to 10/60-1953,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Drainage Well,"['Well', 'do', 'Dm']",additional,sb3_51,34.6788,-120.0539,,Drainage Well,1953,1953,[1953],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']","F6 USGS, Union Sugar Co.",,Santa Barbara County,05/46-1945 to 11/51-1945,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Observation Well,"['Well', 'USGS, Union Sugar Co.', 'Ob']",additional,sb3_51,34.6788,-120.0539,,Observation Well,1945,1945,[1945],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",F3,,Santa Barbara County,04/58-1947 to 07/49-1947,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Observation Well,"['Well', 'USGS, Union Sugar Co.', 'Ob']",additional,sb3_51,34.6788,-120.0539,,Observation Well,1947,1947,[1947],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",27C3 County Nat' Bank & Trust,,Santa Barbara County,04/41-1932 to 06/39-1932,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Unspecified Use,"['Well', ""County Nat' Bank & Trust"", 'Un']",additional,sb3_51,34.6788,-120.0539,,Unspecified Use,1932,1932,[1932],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",28H2,,Santa Barbara County,01/53-1930 to 04/31-1930,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Unspecified Use,"['Well', 'Dept. of the Navy', 'Un']",additional,sb3_51,34.6788,-120.0539,,Unspecified Use,1930,1930,[1930],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']","A4 USGS, Gus Aquistapace",,Santa Barbara County,01/56-1947 to 10/51-1947,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Observation Well,"['Well', 'USGS, Gus Aquistapace', 'Ob']",additional,sb3_51,34.6788,-120.0539,,Observation Well,1947,1947,[1947],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']","C4 USGS, Dept. of the Navy",,Santa Barbara County,03/54-1947 to 10/55-1947,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Observation Well,"['Well', 'USGS, Dept. of the Navy', 'Ob']",additional,sb3_51,34.6788,-120.0539,,Observation Well,1947,1947,[1947],SINGLE_YEAR,,False
sb3,51,34.6788,-120.0539,,,"T. 7 N., R. 35 W.","['T. 7 N., R. 35 W.']",36J3,,Santa Barbara County,04/41-1930 to 04/55-1930,Annual,"{'Depth': 'feet', 'Water Level': 'feet'}",Observation Well,"['Well', 'Ted Holden', 'Ob']",additional,sb3_51,34.6788,-120.0539,,Observation Well,1930,1930,[1930],SINGLE_YEAR,,False
