id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,data_source,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review
2809,627,,,38.478,-121.814,"About 3.5 miles north of Dixon, 1,000 feet west of U.S. Highway 99W, 200 feet south of road",[],UC 87A Well,Solano County,,"Nov. 27, 1931-Nov. 4, 1942",Variable (dates differ),Feet above sea level,Destroyed Well,"['destroyed well', 'diameter 4 inches']",main,2809_627,38.478,-121.814,,Destroyed Well,1931,1942,"[1931, 1942]",EXACT_RANGE,,False
2809,627,,,38.534,-121.748,"About 3.8 miles southwest of Davis, 150 feet west and 45 feet south of well UC 64 Irrigation Well",[],UC 64 Windmill Well (E.R. Foster),Yolo County,,"Sept. 11, 1931-Nov. 3, 1948",Variable (dates differ),Feet above sea level,Domestic Well,"['domestic well', 'diameter 6 inches', 'depth 35 feet']",main,2809_627,38.534,-121.748,,Domestic Well,1931,1948,"[1931, 1948]",EXACT_RANGE,,False
2913,179,40.2434,-111.6469,,,"Vivian Park, Utah",[],South Fork Provo River Runoff,,Utah County,01/10/1912-12/31/1950,Monthly and Yearly,{'Runoff': 'acre-feet'},Runoff,"['Runoff', 'acre-feet']",main,2913_179,40.2434,-111.6469,,Runoff,1912,1950,"[1912, 1950]",EXACT_RANGE,,False
2515,167,,,,,,,"[{'Actual_County': 'Los Angeles', 'Inferred_County': 'Los Angeles', 'Location': 'Long Beach-Santa Ana Area, California', 'Townships_Ranges_Sections': [], 'Temporal_Resolution': None, 'Units_Of_Measurement': None, 'Actual_Latitude': None, 'Actual_Longitude': None, 'Inferred_Latitude': 33.9, 'Inferred_Longitude': -118.2, 'Dates_of_Recording': None, 'Water_Type': 'Groundwater', 'KeyTerms': ['ground-water conditions', 'barrier effect', 'structural traps', 'zones of cementation']}]",,,,,,,,main,2515_167,,,,MISSING,,,,UNPARSED,,True
2257,15,,,32.4509,-109.4425,Alluvial Fill Area,['[TRS not available]'],Andrew Angle Well (Unused Artesian),,Unknown County in California,1946-1963,Variable (as per recorded dates),Feet,Artesian,"['Drilled', 'Unused artesian well', 'Alluvial fill']",main,2257_15,32.4509,-109.4425,,Artesian,1946,1963,"[1946, 1963]",EXACT_RANGE,,False
2257,15,,,32.4115,-109.4148,Alluvial Fill Area,['[TRS not available]'],R. G. Layton Well,,Unknown County in California,1950-1965,Variable (as per recorded dates),Feet,Artesian,"['Drilled', 'Irrigation artesian well', 'Alluvial fill']",main,2257_15,32.4115,-109.4148,,Artesian,1950,1965,"[1950, 1965]",EXACT_RANGE,,False
2257,15,,,32.313,-109.5748,Alluvial Fill Area,['[TRS not available]'],76 Ranch Well,,Unknown County in California,"1946, 1949-1957, 1959-1965",Variable (as per recorded dates),Feet,Stock Water-table,"['Drilled', 'Stock water-table well', 'Alluvial fill']",main,2257_15,32.313,-109.5748,,Stock Water-table,1946,1965,"[1946, 1949, 1957, 1959, 1965]",MULTI_YEARS_OR_RANGES,,False
2257,15,,,31.4119,-109.0528,Sand and Gravel Area,['[TRS not available]'],Delbert Meyers Well,,"Greenlee County, Arizona (Error in document)",1939-1965,Variable (as per recorded dates),Feet,Domestic,"['Drilled', 'Domestic water-table well', 'Sand and gravel']",main,2257_15,31.4119,-109.0528,,Domestic,1939,1965,"[1939, 1965]",EXACT_RANGE,,False
56850,373,,,33.964722,-117.457222,"Near Arlington, CA","['SE&NE4SE4 sec.25', 'T.2 S., R.6 W.']",Riverside Water Quality Control Plant at Riverside Narrows,Riverside County,,10/01/1947-Current Year,Daily,cubic feet per second (ft3/s),Discharge,"['effluent', 'chlorine contact chambers', 'Santa Ana River']",main,56850_373,33.964722,-117.457222,,Discharge,1947,,[1947],OPEN_ENDED_IGNORED,,True
614,24,33.7757,-117.8481,,,"Alameda St. at Santiago Blvd., north of Orange, Calif.",[],Alameda storm drain,Orange,Orange,03/01/1937-09/30/1948,Daily,Not specified,Storm Drain,"['Alameda storm drain', 'storm drain']",main,614_24,33.7757,-117.8481,,Storm Drain,1937,1948,"[1937, 1948]",EXACT_RANGE,,False
614,24,33.7876,-117.8439,,,"Parker St., north of Santiago Creek, near Orange, Calif.",[],Batavia storm drain,Orange,Orange,01/01/1935-09/30/1948,Daily,Not specified,Storm Drain,"['Batavia storm drain', 'storm drain']",main,614_24,33.7876,-117.8439,,Storm Drain,1935,1948,"[1935, 1948]",EXACT_RANGE,,False
614,24,33.8707,-117.9291,,,"Brighton Way west of Magnolia Ave. Fullerton, Calif.",[],Fullerton relief channel.,Orange,Orange,01/01/1941-09/30/1948,Daily,Not specified,Storm Drain,['Fullerton relief channel'],main,614_24,33.8707,-117.9291,,Storm Drain,1941,1948,"[1941, 1948]",EXACT_RANGE,,False
48005,49,,,,,,[],Unspecified,,California,Unknown,Unknown,milligrams per liter,Dissolved Solids,"['Dissolved solids', 'milligrams per liter']",main,48005_49,,,,Dissolved Solids,,,,UNPARSED,no_year_<=1980_found,True
1577,247,39.4391,-120.8658,,,"Section 28, T. 15 N., R. 9 E.","['T. 15 N., R. 9 E., sec. 28']",Bear River Canal near Colfax,Plumas County,,01/01/1912-09/30/1929,Daily,second-feet,Canal Discharge,"['discharge', 'canal', 'irrigation', 'Bear River']",main,1577_247,39.4391,-120.8658,,Canal Discharge,1912,1929,"[1912, 1929]",EXACT_RANGE,,False
48142,12,37.7749,-122.4194,,,San Francisco Bay region,[],Treated municipal wastewater,San Francisco,,05/08/1968-05/12/1968,1968-05-08 to 1968-05-12,ug/1,Wastewater,"['municipal wastewater', 'Primary effluent']",main,48142_12,37.7749,-122.4194,,Wastewater,1968,1968,[1968],SINGLE_YEAR,,False
48142,12,37.7749,-122.4194,,,San Francisco Bay region,[],Agricultural wastewater,,,,,ug/1,Agricultural wastewater,"['Subsurface irrigation returns', 'Surface irrigation returns']",main,48142_12,37.7749,-122.4194,,Agricultural wastewater,,,,UNPARSED,,True
48142,12,37.6736,-122.0809,,,"Castro Valley Creek, Hayward",[],Storm-water runoff,Alameda,,11/11/1971-11/11/1971,1971-11-11,ug/1,Storm-water runoff,"['Chlordane', 'Herbicides']",main,48142_12,37.6736,-122.0809,,Storm-water runoff,1971,1971,[1971],SINGLE_YEAR,,False
