agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	county_cd	peak_begin_date	peak_end_date	peak_count_nu	gw_begin_date	gw_end_date	gw_count_nu
USGS	09423350	CARUTHERS C NR IVANPAH CA	ST	35.24500556	-115.2989889	5	NAD83	071	1963-10-18	2024-02-20	61	--	--	0
USGS	10253000	GOURD C NR LUDLOW CA	ST	34.6763788	-116.0230618	F	NAD83	071	1959	2024	62	--	--	0
USGS	10254050	SALT C NR MECCA	ST	33.44698439	-115.8433229	F	NAD83	065	1962-09-27	1990-06-09	29	--	--	0
USGS	10255550	NEW R NR WESTMORLAND CA	ST	33.10477248	-115.664426	F	NAD83	025	1962-01-25	2024-01-24	63	--	--	0
USGS	10256500	SNOW C NR WHITE WATER CA	ST	33.87057878	-116.6811266	F	NAD83	065	1922-12-14	2024-02-05	73	--	--	0
USGS	10258000	TAHQUITZ C NR PALM SPRINGS CA	ST	33.80502575	-116.5591784	F	NAD83	065	1948-07-22	2024-02-05	76	--	--	0
USGS	10258500	PALM CYN C NR PALM SPRINGS CA	ST	33.74502747	-116.535566	F	NAD83	065	1930-08-01	2024-02-08	90	--	--	0
USGS	10259000	ANDREAS C NR PALM SPRINGS CA	ST	33.76002698	-116.550011	F	NAD83	065	1949-04-18	2024-02-05	76	--	--	0
USGS	10259200	DEEP C NR PALM DESERT CA	ST	33.63113647	-116.3922342	F	NAD83	065	1962	2024-02-01	63	--	--	0
USGS	10259540	WHITEWATER R NR MECCA	ST	33.52475856	-116.0774964	F	NAD83	065	1961-08-15	1992-02-16	32	--	--	0
USGS	10260500	DEEP C NR HESPERIA CA	ST	34.34305858	-117.2264316	F	NAD83	071	1905-03-13	2024-02-05	113	--	--	0
USGS	10260950	WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA	ST	34.33889196	-117.2578213	S	NAD83	071	1975-03-08	2024-02-05	50	--	--	0
USGS	10261000	WF MOJAVE R NR HESPERIA CA	ST	34.3408364	-117.2408764	F	NAD83	071	1907-03-05	1970-11-29	49	--	--	0
USGS	10261100	MOJAVE R BL FORKS RES NR HESPERIA CA	ST	34.34583624	-117.2380986	S	NAD83	071	1971-12-24	1997-01-26	20	--	--	0
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	ST	34.57304916	-117.3206018	F	NAD83	071	1931-04-27	2024-02-06	94	--	--	0
USGS	10262000	MOJAVE R NR HODGE CA	ST	34.83551667	-117.1916778	5	NAD83	071	1931-04-28	2024-02-07	27	--	--	0
USGS	10262500	MOJAVE R A BARSTOW CA	ST	34.90693947	-117.0228129	F	NAD83	071	1931	2024-02-07	94	--	--	0
USGS	10263500	BIG ROCK C NR VALYERMO CA	ST	34.42083115	-117.8395072	F	NAD83	037	1923-04-10	2024-02-05	102	--	--	0
USGS	10289500	GREEN CK NR BRIDGEPORT, CA	ST	38.17380969	-119.2337656	S	NAD83	051	1954-05-20	2024-06-07	35	--	--	0
USGS	10290500	ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA	ST	38.17214225	-119.3246032	U	NAD83	051	1911-06-21	2024-06-08	48	--	--	0
USGS	10291500	BUCKEYE CK NR BRIDGEPORT, CA	ST	38.23880787	-119.3259923	1	NAD83	051	1954-05-20	2024-06-06	47	--	--	0
USGS	10293000	E WALKER RV NR BRIDGEPORT, CA	ST	38.3276958	-119.2148759	F	NAD83	051	1923-05-22	2024-06-13	102	--	--	0
USGS	10295500	L WALKER RV NR BRIDGEPORT, CA	ST	38.3607482	-119.4448868	S	NAD83	051	1945-02-02	2008-05-20	55	--	--	0
USGS	10296000	W WALKER RV BLW L WALKER RV NR COLEVILLE, CA	ST	38.3796366	-119.4501649	S	NAD83	051	1937-12-11	2024-05-19	87	--	--	0
USGS	10296500	W WALKER RV NR COLEVILLE, CA	ST	38.51324495	-119.4498872	S	NAD83	051	1903-06-01	2024-05-19	99	--	--	0
USGS	10303000	SILVER KING C NR COLEVILLE CA	ST	38.5165765	-119.6010046	F	NAD83	003	1947-05-02	1950-11-20	5	--	--	0
