decade_end,total_measurements,num_pages,total_tables,num_documents,decade_label,,,
1810,30,1,1,1,1810s,,1810-1890,1592
1860,8,1,1,1,1860s,,1900-1920,401469
1870,184,8,11,8,1870s,,1930-1950,661307
1880,560,24,28,6,1880s,,,
1890,810,33,38,16,1890s,,,
1900,38111,909,1265,86,1900s,,,
1910,216519,5582,9702,152,1910s,,,
1920,146839,3863,7132,95,1920s,,,
1930,185011,4308,7327,120,1930s,,,
1940,202813,4660,9726,112,1940s,,,
1950,273483,7633,13291,169,1950s,,,
1960,673973,16831,25770,209,1960s,,,
1970,547253,13292,18464,205,1970s,,,
1980,426,17,20,12,1980s,,,
