decade_end,water_type_clean,total_measurements,num_pages,decade_label
1810.0,Not water related,30,1,1810s
1860.0,Groundwater,8,1,1860s
1870.0,Groundwater,109,4,1870s
1870.0,Stream discharge,51,2,1870s
1870.0,Springs,17,1,1870s
1870.0,Irrigation,7,1,1870s
1880.0,Springs,272,12,1880s
1880.0,Groundwater,227,10,1880s
1880.0,Irrigation,61,2,1880s
1890.0,Groundwater,441,18,1890s
1890.0,Stream discharge,211,6,1890s
1890.0,Irrigation,53,4,1890s
1890.0,Springs,42,2,1890s
1890.0,Reservoir,32,2,1890s
1890.0,Precipitation,31,1,1890s
1900.0,Stream discharge,33211,686,1900s
1900.0,Groundwater,2377,113,1900s
1900.0,Precipitation,940,25,1900s
1900.0,Irrigation,706,34,1900s
1900.0,Springs,605,32,1900s
1900.0,Reservoir,241,17,1900s
1910.0,Stream discharge,194772,4914,1910s
1910.0,Groundwater,15225,404,1910s
1910.0,Precipitation,1829,53,1910s
1910.0,Irrigation,1828,88,1910s
1910.0,Reservoir,1504,56,1910s
1910.0,Springs,633,38,1910s
1910.0,Not water related,130,8,1910s
1910.0,Water quality,18,2,1910s
1920.0,Stream discharge,129166,3508,1920s
1920.0,Groundwater,12463,202,1920s
1920.0,Irrigation,2915,76,1920s
1920.0,Reservoir,1766,63,1920s
1920.0,Precipitation,167,4,1920s
1920.0,Not water related,65,1,1920s
1920.0,Springs,41,2,1920s
1930.0,Stream discharge,167019,3804,1930s
1930.0,Groundwater,7297,198,1930s
1930.0,Reservoir,6645,208,1930s
1930.0,Irrigation,3307,79,1930s
1930.0,Precipitation,153,5,1930s
1930.0,Springs,26,1,1930s
1940.0,Stream discharge,171598,3792,1940s
1940.0,Groundwater,17928,517,1940s
1940.0,Reservoir,8647,208,1940s
1940.0,Irrigation,3172,79,1940s
1940.0,Precipitation,543,28,1940s
1940.0,Springs,372,21,1940s
1940.0,Not water related,15,1,1940s
1950.0,Stream discharge,227724,5751,1950s
1950.0,Groundwater,22411,1029,1950s
1950.0,Reservoir,9594,294,1950s
1950.0,Springs,7891,336,1950s
1950.0,Irrigation,4215,162,1950s
1950.0,Precipitation,1078,43,1950s
1950.0,Not water related,31,2,1950s
1960.0,Stream discharge,624816,15176,1960s
1960.0,Reservoir,28483,777,1960s
1960.0,Groundwater,12744,572,1960s
1960.0,Irrigation,2853,102,1960s
1960.0,Springs,2256,96,1960s
1960.0,Not water related,705,25,1960s
1960.0,Water quality,624,24,1960s
1960.0,Precipitation,552,26,1960s
1970.0,Stream discharge,503038,11829,1970s
1970.0,Reservoir,21739,620,1970s
1970.0,Groundwater,10237,443,1970s
1970.0,Water quality,4845,128,1970s
1970.0,Irrigation,2123,68,1970s
1970.0,Precipitation,1932,71,1970s
1970.0,Not water related,1080,40,1970s
1970.0,Springs,588,31,1970s
1970.0,Other,87,2,1970s
1980.0,Stream discharge,264,9,1980s
1980.0,Groundwater,141,7,1980s
