decade_start,total_measurements,num_pages,total_tables,num_documents,decade_label
1800.0,30,1,1,1,1800s
1810.0,12,1,1,1,1810s
1840.0,212,8,12,6,1840s
1850.0,311,8,10,7,1850s
1860.0,625,28,32,17,1860s
1870.0,6023,179,210,78,1870s
1880.0,7009,282,361,94,1880s
1890.0,31013,771,1152,159,1890s
1900.0,167652,4023,6567,212,1900s
1910.0,280906,7260,12934,195,1910s
1920.0,286924,7182,13164,183,1920s
1930.0,198838,4921,8636,184,1930s
1940.0,202931,5325,10037,193,1940s
1950.0,225845,6606,10373,255,1950s
1960.0,639312,14831,20972,210,1960s
1970.0,359836,8908,12154,171,1970s
1980.0,78,4,4,3,1980s
