decade_start,Groundwater,Irrigation,Not water related,Other,Precipitation,Reservoir,Springs,Stream discharge,Water quality
1800s,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
1810s,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840s,0.0,0.0,0.0,0.0,179.0,0.0,0.0,33.0,0.0
1850s,13.0,6.0,0.0,0.0,157.0,0.0,0.0,135.0,0.0
1860s,48.0,0.0,0.0,0.0,225.0,21.0,0.0,331.0,0.0
1870s,748.0,179.0,40.0,0.0,1316.0,513.0,196.0,2933.0,0.0
1880s,1252.0,291.0,0.0,0.0,510.0,389.0,463.0,4049.0,18.0
1890s,1364.0,897.0,0.0,0.0,599.0,105.0,83.0,27919.0,0.0
1900s,9440.0,2134.0,45.0,0.0,681.0,2707.0,747.0,151356.0,0.0
1910s,11782.0,3804.0,110.0,0.0,352.0,5108.0,356.0,258919.0,0.0
1920s,12529.0,6251.0,15.0,0.0,324.0,14083.0,4.0,252804.0,0.0
1930s,18026.0,1439.0,29.0,0.0,288.0,7360.0,55.0,171280.0,40.0
1940s,14635.0,2729.0,17.0,0.0,312.0,8532.0,4770.0,171290.0,133.0
1950s,13712.0,1527.0,104.0,0.0,121.0,9877.0,5022.0,195151.0,71.0
1960s,10713.0,1861.0,715.0,43.0,530.0,28775.0,739.0,593833.0,1108.0
1970s,7567.0,1106.0,951.0,44.0,1631.0,9238.0,346.0,333351.0,4344.0
1980s,22.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
