DecadeNum,WaterType,Count
1860,Groundwater,5
1870,Groundwater,53
1880,Groundwater,174
1890,Groundwater,244
1900,Groundwater,548
1910,Groundwater,853
1920,Groundwater,562
1930,Groundwater,815
1940,Groundwater,1151
1950,Groundwater,1490
1960,Groundwater,1228
1970,Groundwater,721
1860,Irrigation,1
1870,Irrigation,14
1880,Irrigation,25
1890,Irrigation,72
1900,Irrigation,129
1910,Irrigation,155
1920,Irrigation,172
1930,Irrigation,88
1940,Irrigation,172
1950,Irrigation,114
1960,Irrigation,91
1970,Irrigation,73
1860,Precipitation,23
1870,Precipitation,36
1880,Precipitation,34
1890,Precipitation,40
1900,Precipitation,53
1910,Precipitation,32
1920,Precipitation,9
1930,Precipitation,45
1940,Precipitation,31
1950,Precipitation,27
1960,Precipitation,27
1970,Precipitation,47
1860,Reservoir,2
1870,Reservoir,13
1880,Reservoir,27
1890,Reservoir,12
1900,Reservoir,83
1910,Reservoir,155
1920,Reservoir,298
1930,Reservoir,216
1940,Reservoir,174
1950,Reservoir,298
1960,Reservoir,483
1970,Reservoir,213
1860,Springs,3
1870,Springs,12
1880,Springs,27
1890,Springs,7
1900,Springs,114
1910,Springs,31
1920,Springs,2
1930,Springs,7
1940,Springs,130
1950,Springs,163
1960,Springs,187
1970,Springs,89
1860,Stream discharge,237
1870,Stream discharge,95
1880,Stream discharge,113
1890,Stream discharge,739
1900,Stream discharge,3075
1910,Stream discharge,5587
1920,Stream discharge,4722
1930,Stream discharge,3068
1940,Stream discharge,3196
1950,Stream discharge,4177
1960,Stream discharge,9364
1970,Stream discharge,6292
1880,Water quality,2
1890,Water quality,1
1930,Water quality,3
1940,Water quality,8
1950,Water quality,2
1960,Water quality,37
1970,Water quality,102
