site_no,start_year,end_year,total_measurements,year_span,decade_start,decade_end,decade,latitude,longitude
11119500,1940,1979,509,40,1940,1970,1940,34.40125046,-119.48823248
11120500,1941,1979,1015,39,1940,1970,1940,34.4591521,-119.8089913
11123500,1952,1979,28,28,1950,1970,1950,34.54359399,-119.864827
11132500,1952,1978,27,27,1950,1970,1950,34.58858865,-120.4084524
11138500,1952,1979,53,28,1950,1970,1950,34.83995556,-120.1671694
11124500,1954,1978,19,25,1950,1970,1950,34.5966563,-119.9087519
11128500,1958,1979,26,22,1950,1970,1950,34.58497968,-120.1445568
11133000,1958,1979,40,22,1950,1970,1950,34.6360873,-120.4245645
11136100,1958,1979,12,22,1950,1970,1950,34.78219396,-120.5301244
11136650,1962,1969,4,8,1960,1960,1960,34.9833102,-119.7759677
11140000,1962,1979,69,18,1960,1970,1960,34.8938596,-120.3065089
11120000,1968,1979,16,12,1960,1970,1960,34.4247085,-119.8117688
11120530,1971,1972,8,2,1970,1970,1970,34.43471754,-119.8687502
11134800,1971,1978,10,8,1970,1970,1970,34.6316501,-120.4648857
11119750,1972,1979,57,8,1970,1970,1970,34.42662778,-119.7236694
11119940,1972,1979,10,8,1970,1970,1970,34.44498584,-119.8037132
11120510,1973,1979,32,7,1970,1970,1970,34.43027415,-119.822083
11123000,1973,1975,2,3,1970,1970,1970,34.52442917,-119.6873223
11140600,1976,1978,4,3,1970,1970,1970,34.96664454,-120.4176628
11119780,1978,1978,2,1,1970,1970,1970,34.43694215,-119.7465269
11135800,1978,1979,5,2,1970,1970,1970,34.74330807,-120.2709507
