site_no,station_name,latitude,longitude,start_year,end_year,total_measurements
342242119283801,004N025W34R001S,34.3783287,-119.4781762,1941.0,1941.0,2
342256119282002,004N025W35M003S,34.3822175,-119.473176,1941.0,1956.0,4
342300119281901,004N025W35M001S,34.3833286,-119.4728983,1941.0,1993.0,52
342303119282801,004N025W35M005S,34.3841619,-119.4753984,1949.0,1966.0,77
342304119291901,004N025W34L001S,34.38443955,-119.4895657,1949.0,1959.0,4
342306119291801,004N025W34F001S,34.3849951,-119.4892879,1948.0,1959.0,6
342314119291801,004N025W34F002S,34.38721727,-119.489288,1948.0,1958.0,109
342315119282901,004N025W35E001S,34.38749515,-119.4756763,1939.0,2001.0,226
342315119282902,004N025W35E002S,34.38749515,-119.4756763,1943.0,1985.0,80
342317119285601,004N025W34G001S,34.3880506,-119.4831766,1991.0,2001.0,116
342319119284901,004N025W34A001S,34.38860619,-119.481232,1941.0,2001.0,117
342320119281001,004N025W35C002S,34.38888405,-119.4703983,1946.0,1956.0,2
342322119280601,004N025W35C003S,34.3894396,-119.4692872,1946.0,1955.0,2
342322119281501,004N025W35C001S,34.38943958,-119.4717873,1935.0,1959.0,19
342324119301701,004N025W33C001S,34.38999495,-119.5056777,1941.0,1950.0,74
342325119274701,004N025W35A006S,34.39027295,-119.4640092,1950.0,1959.0,3
342326119290001,004N025W34B001S,34.39055056,-119.4842878,1941.0,1941.0,2
342327119274401,004N025W35A001S,34.3908285,-119.4631758,1941.0,1946.0,23
342329119283101,004N025W35D001S,34.39138394,-119.4762319,1934.0,1946.0,83
342331119303401,004N025W33D001S,34.3919394,-119.5104002,1941.0,1956.0,6
342333119282501,004N025W26N001S,34.392495,-119.4745652,1946.0,1949.0,3
342333119285201,004N025W27R003S,34.39249497,-119.4820655,1937.0,1959.0,7
342333119290101,004N025W27Q003S,34.39249495,-119.4845656,1941.0,1942.0,53
342333119290801,004N025W27Q005S,34.39249494,-119.4865102,1940.0,1956.0,32
342334119304401,004N025W28N005S,34.39277277,-119.5131782,1947.0,1947.0,1
342335119272901,004N025W25N001S,34.39305069,-119.459009,1946.0,1959.0,7
342335119305201,004N025W29R002S,34.39305057,-119.5154006,1941.0,1942.0,8
342336119304201,004N025W28N003S,34.3933283,-119.5126226,1948.0,1948.0,1
342336119304501,004N025W28N004S,34.3933283,-119.513456,1946.0,1946.0,1
342336119304701,004N025W28N001S,34.3933283,-119.5140116,1941.0,1946.0,3
342336119305601,004N025W29R004S,34.39332836,-119.5165117,1949.0,1950.0,3
342337119272901,004N025W25N005S,34.3936062,-119.459009,1996.0,2001.0,56
