agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd
USGS,11119500,1,1940-12-31,,Yes,UNK,USGS,2.02,0.25,Good,0.0,0.2,,NONE
USGS,11119500,2,1941-01-07,,Yes,UNK,USGS,2.49,13.4,Unspecified,0.0,0.4,,NONE
USGS,11119500,3,1941-01-08,,Yes,UNK,USGS,2.38,8.2,Good,0.0,0.3,,NONE
USGS,11119500,4,1941-01-09,,Yes,UNK,USGS,2.34,5.5,Unspecified,0.0,0.3,,NONE
USGS,11119500,5,1941-01-22,,Yes,UNK,USGS,2.39,8.7,Good,-0.01,0.3,,NONE
USGS,11119500,6,1941-01-26,,Yes,UNK,USGS,2.29,10.9,Good,-0.01,0.3,,NONE
USGS,11119500,7,1941-01-28,,Yes,UNK,USGS,2.1,4.8,Unspecified,0.0,0.3,,NONE
USGS,11119500,8,1941-01-31,,Yes,UNK,USGS,1.93,0.95,Unspecified,0.0,0.7,,NONE
USGS,11119500,10,1941-02-06,,Yes,UNK,USGS,2.17,6.9,Good,0.0,0.3,,NONE
USGS,11119500,9,1941-02-06,,Yes,UNK,USGS,2.31,13.9,Good,-0.02,0.5,,NONE
USGS,11119500,11,1941-02-07,,Yes,UNK,USGS,2.02,2.8,Good,0.0,0.3,,NONE
USGS,11119500,12,1941-02-11,,Yes,UNK,USGS,3.1,117.0,Good,0.0,0.3,,NONE
USGS,11119500,13,1941-02-13,,Yes,UNK,USGS,2.35,16.3,Good,0.0,0.3,,NONE
USGS,11119500,14,1941-02-19,,Yes,UNK,USGS,2.49,24.8,Good,0.02,0.5,,NONE
USGS,11119500,15,1941-02-20,,Yes,UNK,USGS,2.77,56.0,Good,0.02,0.5,,NONE
USGS,11119500,16,1941-02-21,,Yes,UNK,USGS,2.82,61.0,Good,0.0,0.5,,NONE
USGS,11119500,17,1941-02-21,,Yes,UNK,USGS,3.55,218.0,Good,-0.02,0.5,,NONE
USGS,11119500,18,1941-02-22,,Yes,UNK,USGS,2.79,56.0,Good,0.0,0.5,,NONE
USGS,11119500,19,1941-02-26,,Yes,UNK,USGS,2.44,18.1,Good,0.0,0.5,,NONE
USGS,11119500,20,1941-03-01,,Yes,UNK,USGS,3.38,153.0,Good,-0.04,0.5,,NONE
USGS,11119500,21,1941-03-01,,Yes,UNK,USGS,3.22,126.0,Good,-0.01,0.5,,NONE
USGS,11119500,22,1941-03-03,,Yes,UNK,USGS,2.82,56.0,Good,0.0,0.3,,NONE
USGS,11119500,23,1941-03-04,,Yes,UNK,USGS,3.92,276.0,Good,0.0,0.5,,NONE
USGS,11119500,24,1941-03-04,,Yes,UNK,USGS,4.92,532.0,Good,-0.2,0.8,,NONE
USGS,11119500,25,1941-03-04,,Yes,UNK,USGS,4.98,561.0,Good,0.15,0.8,,NONE
USGS,11119500,26,1941-03-05,,Yes,UNK,USGS,3.67,180.0,Good,-0.01,0.5,,NONE
USGS,11119500,27,1941-03-07,,Yes,UNK,USGS,3.09,58.0,Good,0.0,0.5,,NONE
USGS,11119500,28,1941-03-11,,Yes,UNK,USGS,2.8,24.1,Good,0.0,0.5,,NONE
USGS,11119500,29,1941-03-13,,Yes,UNK,USGS,2.91,35.8,Good,0.0,0.5,,NONE
USGS,11119500,30,1941-03-17,,Yes,UNK,USGS,2.77,22.4,Good,0.0,0.3,,NONE
USGS,11119500,31,1941-03-25,,Yes,UNK,USGS,2.63,13.8,Good,0.0,0.3,,NONE
USGS,11119500,32,1941-03-29,,Yes,UNK,USGS,2.89,41.2,Unspecified,0.0,0.5,,NONE
USGS,11119500,33,1941-03-31,,Yes,UNK,USGS,3.32,128.0,Good,-0.07,1.0,,NONE
USGS,11119500,34,1941-04-01,,Yes,UNK,USGS,3.25,90.0,Good,0.0,0.5,,NONE
USGS,11119500,35,1941-04-02,,Yes,UNK,USGS,3.08,70.0,Good,0.0,0.3,,NONE
USGS,11119500,36,1941-04-05,,Yes,UNK,USGS,3.54,152.0,Good,-0.01,0.3,,NONE
USGS,11119500,37,1941-04-06,,Yes,UNK,USGS,3.12,69.0,Good,-0.01,0.5,,NONE
USGS,11119500,38,1941-04-10,,Yes,UNK,USGS,2.85,33.8,Good,0.0,0.5,,NONE
USGS,11119500,39,1941-04-11,,Yes,UNK,USGS,3.3,103.0,Good,-0.04,0.3,,NONE
USGS,11119500,40,1941-04-18,,Yes,UNK,USGS,2.79,27.6,Good,0.0,0.5,,NONE
USGS,11119500,41,1941-04-25,,Yes,UNK,USGS,2.67,18.5,Good,0.0,0.3,,NONE
USGS,11119500,42,1941-05-02,,Yes,UNK,USGS,2.62,15.5,Good,0.0,0.3,,NONE
USGS,11119500,43,1941-05-09,,Yes,UNK,USGS,2.56,10.7,Good,0.0,0.3,,NONE
USGS,11119500,44,1941-05-16,,Yes,UNK,USGS,2.52,9.1,Good,0.0,0.5,,NONE
USGS,11119500,45,1941-05-23,,Yes,UNK,USGS,2.45,6.9,Good,0.0,0.5,,NONE
USGS,11119500,46,1941-05-29,,Yes,UNK,USGS,2.44,5.8,Good,0.0,0.7,,NONE
USGS,11119500,47,1941-06-05,,Yes,UNK,USGS,2.4,4.9,Unspecified,0.0,0.5,,NONE
USGS,11119500,48,1941-06-12,,Yes,UNK,USGS,2.36,3.5,Good,0.0,0.3,,NONE
USGS,11119500,49,1941-06-19,,Yes,UNK,USGS,2.36,3.1,Good,0.0,0.3,,NONE
USGS,11119500,50,1941-06-25,,Yes,UNK,USGS,2.28,1.8,Good,0.0,0.3,,NONE
USGS,11119500,51,1941-07-03,,Yes,UNK,USGS,2.42,4.5,Good,0.0,0.5,,NONE
USGS,11119500,52,1941-07-10,,Yes,UNK,USGS,2.38,3.8,Good,0.0,0.3,,NONE
USGS,11119500,53,1941-07-14,,Yes,UNK,USGS,2.3,2.1,Good,0.0,0.5,,NONE
USGS,11119500,54,1941-07-22,,Yes,UNK,USGS,2.3,2.1,Good,0.0,0.3,,NONE
USGS,11119500,55,1941-07-30,,Yes,UNK,USGS,2.17,0.4,Fair,-0.01,0.3,,NONE
USGS,11119500,56,1941-08-05,,Yes,UNK,USGS,2.11,0.15,Fair,-0.01,0.5,,NONE
USGS,11119500,57,1941-08-12,,Yes,UNK,USGS,2.14,0.41,Fair,0.0,0.5,,NONE
USGS,11119500,58,1941-08-20,,Yes,UNK,USGS,2.16,0.52,Fair,0.0,0.5,,NONE
USGS,11119500,59,1941-08-27,,Yes,UNK,USGS,2.21,1.0,Fair,0.0,0.5,,NONE
USGS,11119500,60,1941-09-01,,Yes,UNK,USGS,2.12,0.36,Fair,-0.01,0.5,,NONE
USGS,11119500,61,1941-09-10,,Yes,UNK,USGS,2.17,0.76,Good,0.0,0.2,,NONE
USGS,11119500,62,1941-09-15,,Yes,UNK,USGS,2.19,0.78,Fair,0.0,0.2,,NONE
USGS,11119500,63,1941-09-25,,Yes,UNK,USGS,2.05,0.09,Poor,0.0,0.2,,NONE
USGS,11119500,64,1941-10-17,,Yes,UNK,USGS,2.08,0.14,Poor,0.0,0.1,,NONE
USGS,11119500,65,1941-10-24,,Yes,UNK,USGS,2.11,0.17,Poor,0.0,0.1,,NONE
USGS,11119500,66,1941-10-31,,Yes,UNK,USGS,2.1,0.16,Poor,0.0,0.2,,NONE
USGS,11119500,67,1941-11-07,,Yes,UNK,USGS,2.11,0.18,Poor,0.0,0.2,,NONE
USGS,11119500,68,1941-11-29,,Yes,UNK,USGS,2.08,0.1,Poor,0.0,0.1,,NONE
USGS,11119500,69,1941-12-01,,Yes,UNK,USGS,2.11,0.14,Unspecified,0.0,0.1,,NONE
USGS,11119500,70,1941-12-03,,Yes,UNK,USGS,2.26,1.1,Unspecified,-0.04,0.2,,NONE
USGS,11119500,71,1941-12-05,,Yes,UNK,USGS,2.12,0.34,Unspecified,0.0,0.1,,NONE
USGS,11119500,72,1941-12-10,,Yes,UNK,USGS,2.79,22.6,Fair,0.0,0.5,,NONE
USGS,11119500,73,1941-12-10,,Yes,UNK,USGS,2.77,18.8,Fair,0.05,0.5,,NONE
USGS,11119500,74,1941-12-11,,Yes,UNK,USGS,2.28,1.6,Good,-0.01,0.3,,NONE
USGS,11119500,75,1941-12-12,,Yes,UNK,USGS,2.21,0.94,Fair,0.0,0.2,,NONE
USGS,11119500,76,1941-12-15,,Yes,UNK,USGS,2.22,0.95,Unspecified,0.0,0.2,,NONE
USGS,11119500,77,1941-12-23,,Yes,UNK,USGS,2.16,0.39,Fair,0.0,0.2,,NONE
USGS,11119500,78,1941-12-26,,Yes,UNK,USGS,2.17,0.55,Good,0.0,0.3,,NONE
USGS,11119500,79,1941-12-29,,Yes,UNK,USGS,2.6,11.5,Good,0.02,0.3,,NONE
USGS,11119500,80,1942-01-06,,Yes,UNK,USGS,2.24,0.77,Good,0.0,0.1,,NONE
USGS,11119500,81,1942-01-14,,Yes,UNK,USGS,2.2,0.32,Unspecified,0.0,0.3,,NONE
USGS,11119500,82,1942-01-24,,Yes,UNK,USGS,2.15,0.29,Unspecified,-0.01,0.1,,NONE
USGS,11119500,83,1942-02-19 23:00:00,PST,Yes,UNK,USGS,2.1,0.12,Poor,0.0,0.1,,NONE
USGS,11119500,84,1942-02-24 23:00:00,PST,Yes,UNK,USGS,2.17,0.47,Poor,0.0,0.1,,NONE
USGS,11119500,85,1942-03-05 23:00:00,PST,Yes,UNK,USGS,2.14,0.3,Fair,0.0,0.3,,NONE
USGS,11119500,86,1942-03-12 23:00:00,PST,Yes,UNK,USGS,2.15,0.33,Poor,0.0,0.1,,NONE
USGS,11119500,87,1942-03-16 23:00:00,PST,Yes,UNK,USGS,2.21,0.8,Good,0.0,0.2,,NONE
USGS,11119500,88,1942-03-26 23:00:00,PST,Yes,UNK,USGS,2.09,0.11,Unspecified,0.0,0.2,,NONE
USGS,11119500,89,1942-04-03 23:00:00,PST,Yes,UNK,USGS,2.21,0.78,Good,0.0,0.3,,NONE
USGS,11119500,90,1942-04-06 23:00:00,PST,Yes,UNK,USGS,2.09,0.15,Fair,0.0,0.2,,NONE
USGS,11119500,91,1942-04-12 23:00:00,PST,Yes,UNK,USGS,2.18,0.45,Unspecified,0.0,0.2,,NONE
USGS,11119500,92,1942-04-16 23:00:00,PST,Yes,UNK,USGS,2.26,1.5,Fair,0.0,0.2,,NONE
USGS,11119500,93,1942-04-21 23:00:00,PST,Yes,UNK,USGS,2.26,1.5,Fair,0.0,0.3,,NONE
USGS,11119500,94,1942-04-27 23:00:00,PST,Yes,UNK,USGS,2.17,0.7,Fair,0.0,0.2,,NONE
USGS,11119500,95,1942-05-03 23:00:00,PST,Yes,UNK,USGS,2.12,0.38,Good,0.0,0.3,,NONE
USGS,11119500,96,1942-05-10 23:00:00,PST,Yes,UNK,USGS,2.06,0.13,Unspecified,,,,NONE
USGS,11119500,97,1942-05-17 23:00:00,PST,Yes,UNK,USGS,2.02,0.04,Unspecified,,,,NONE
USGS,11119500,99,1942-12-23 23:00:00,PST,Yes,UNK,USGS,2.03,0.05,Unspecified,,,,NONE
USGS,11119500,100,1943-01-22 23:00:00,PST,Yes,WOR/TS,USGS,4.28,509.0,Poor,-0.03,1.0,,NONE
USGS,11119500,101,1943-01-23 23:00:00,PST,Yes,UNK,USGS,3.02,61.0,Fair,0.0,0.5,,NONE
USGS,11119500,102,1943-01-24 23:00:00,PST,Yes,UNK,USGS,2.7,27.2,Good,0.0,0.3,,NONE
