site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
0,,Unknown,Historical,1920,1966,1920,1966,1920,1960,1920,5,0.11208663856853265,-119.686,34.527
1,,Unknown,Historical,1968,1969,1968,1969,1960,1960,1960,5,0.009285504,-119.863889,34.543611
3,,Unknown,Historical,1953,1954,1953,1954,1950,1950,1950,3,0.12065105294266659,-119.507056,34.492222
4,,Unknown,Historical,1967,1968,1967,1968,1960,1960,1960,5,0.001247773,-120.491667,34.672222
5,,Unknown,Historical,1910,1910,1910,1910,1910,1910,1910,2,1.3168193966468518,-120.463,34.649
6,,Unknown,Historical,1963,1964,1963,1964,1960,1960,1960,4,1.0318876665036465,-120.1047,34.6525
7,,Unknown,Historical,1947,1949,1947,1949,1940,1940,1940,5,0.081994727,-120.455556,34.669444
8,,Unknown,Historical,1954,1954,1954,1954,1950,1950,1950,5,0.034248069114797684,-120.474722,34.668333
9,,Unknown,Historical,1928,1931,1928,1931,1920,1930,1920,4,1.187309202713018,-120.103,34.647
10,,Unknown,Historical,1929,1931,1929,1931,1920,1930,1920,4,1.187309202713018,-120.103,34.647
11,,Unknown,Historical,1906,1918,1906,1918,1900,1910,1900,2,1.5060835837789108,-120.4575,34.6443
13,,Unknown,Historical,1910,1912,1910,1912,1910,1910,1910,2,1.152869394069833,-120.4575,34.6396
14,,Unknown,Historical,1920,,1920,,1920,,1920,5,0.11303192063903253,-119.686389,34.524444
16,,Unknown,Historical,1958,1959,1958,1959,1950,1950,1950,5,0.009852879,-120.355556,34.613333
17,,Unknown,Historical,1957,1958,1957,1958,1950,1950,1950,5,0.17727359406595958,-119.9958333,34.59166667
18,,Unknown,Historical,1910,1912,1910,1912,1910,1910,1910,5,0.8191551696999927,-120.4372,34.6391
19,,Unknown,Historical,1906,1912,1906,1912,1900,1910,1900,5,0.5980968971585963,-120.4444,34.6575
20,,Unknown,Historical,1962,1963,1962,1963,1960,1960,1960,5,0.1953078051848889,-120.4367,34.649
21,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.1953078051848889,-120.4367,34.649
22,,Unknown,Historical,1946,1963,1946,1963,1940,1960,1940,5,0.5484269014165336,-120.5847,34.6889
23,,Unknown,Historical,1970,1971,1970,1971,1970,1970,1970,5,0.028720717873975326,-119.8644,34.5436
24,,Unknown,Historical,1928,1970,1928,1970,1920,1970,1920,2,0.013239779,-120.144722,34.581111
25,,Unknown,Historical,1954,1976,1954,1976,1950,1970,1950,5,0.036921717,-120.356389,34.613333
26,,Unknown,Historical,1956,1957,1956,1957,1950,1950,1950,5,0.078971539,-120.142778,34.584722
28,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.5492561550694538,-120.58472,34.68889
29,,Unknown,Historical,1965,1966,1965,1966,1960,1960,1960,5,0.049652327,-120.4255556,34.63777778
30,,Unknown,Historical,1966,1967,1966,1967,1960,1960,1960,5,0.034248069114797684,-120.474722,34.668333
31,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.17727359406595958,-119.9958333,34.59166667
32,,Unknown,Historical,1920,1938,1920,1938,1920,1930,1920,5,0.4085550021649641,-119.6833333,34.5277778
33,,Unknown,Historical,1913,1914,1913,1914,1910,1910,1910,5,0.8482495807355838,-120.4422,34.6467
34,,Unknown,Historical,1943,1944,1943,1944,1940,1940,1940,5,0.4085550021649641,-119.6833333,34.5277778
37,,Unknown,Historical,1929,1931,1929,1931,1920,1930,1920,1,0.6386795073297099,-120.0856,34.6374
38,,Unknown,Historical,1906,1918,1906,1918,1900,1910,1900,5,1.7182191450096087,-120.4484,34.6411
39,,Unknown,Historical,1954,,1954,,1950,,1950,5,0.034248069114797684,-120.474722,34.668333
40,,Unknown,Historical,1949,1950,1949,1950,1940,1950,1940,1,0.2093156609435418,-119.72,34.67
41,,Unknown,Historical,1950,1950,1950,1950,1950,1950,1950,1,0.2093156609435418,-119.72,34.67
42,,Unknown,Historical,1949,1950,1949,1950,1940,1950,1940,1,0.4351103936667811,-119.63,34.62
43,,Unknown,Historical,,,,,,,,1,0.083164416,-120,34.75
44,,Unknown,Historical,1906,1938,1906,1938,1900,1930,1900,5,0.034652718244678915,-120.4305556,34.64166666666667
48,,Unknown,Historical,1970,1971,1970,1971,1970,1970,1970,5,0.11303192063903253,-119.686389,34.524444
49,,Unknown,Historical,1947,1952,1947,1952,1940,1950,1940,5,0.020951446,-119.8625,34.54306
50,,Unknown,Historical,1928,1933,1928,1933,1920,1930,1920,4,0.34889594931294216,-120.0214,34.6475
51,,Unknown,Historical,1965,1966,1965,1966,1960,1960,1960,5,0.063919241,-120.143056,34.584722
54,,Unknown,Historical,1945,1946,1945,1946,1940,1940,1940,5,0.034656038,-120.4305556,34.6416667
55,,Unknown,Historical,1920,1920,1920,1920,1920,1920,1920,5,0.11303192063903253,-119.686389,34.524444
56,,Unknown,Historical,1947,1961,1947,1961,1940,1960,1940,5,0.030936888552751153,-120.425,34.6375
57,,Unknown,Historical,1946,1961,1946,1961,1940,1960,1940,5,0.034942317,-120.456944,34.668333
60,,Unknown,Historical,1957,1962,1957,1962,1950,1960,1950,2,1.2132583017374943,-120.4563,34.6396
66,,Unknown,Historical,1949,1950,1949,1950,1940,1950,1940,5,0.034656038,-120.4305556,34.6416667
67,,Unknown,Historical,1948,1951,1948,1951,1940,1950,1940,2,0.15096228628362499,-119.8806,34.5444
68,,Unknown,Historical,1934,1935,1934,1935,1930,1930,1930,5,0.4085946395271208,-119.683333,34.527778
69,,Unknown,Historical,1930,1935,1930,1935,1930,1930,1930,3,0.16126433343959004,-119.514444,34.491667
70,,Unknown,Historical,1942,1943,1942,1943,1940,1940,1940,3,0.11027938395579753,-119.51389,34.49167
71,,Unknown,Historical,,,,,,,,1,0.08425429,-120.158,34.695
72,,Unknown,Historical,,,,,,,,1,0.030639378,-120.1167,34.6544
73,,Unknown,Historical,1953,1954,1953,1954,1950,1950,1950,5,0.1226246772621595,-120.425,34.636111
75,,Unknown,Historical,1918,1918,1918,1918,1910,1910,1910,2,0.4812748608158572,-120.35,34.65
77,,Unknown,Historical,1903,1904,1903,1904,1900,1900,1900,1,0.43121367882985456,-120.3,34.65
78,,Unknown,Historical,1918,1918,1918,1918,1910,1910,1910,2,0.34352130084457916,-120.35,34.6
79,,Unknown,Historical,1903,1904,1903,1904,1900,1900,1900,1,0.023678720570070998,-120.3,34.7
80,,Unknown,Historical,1918,1918,1918,1918,1910,1910,1910,1,0.43121367882985456,-120.3,34.65
82,,Unknown,Historical,1914,1917,1914,1917,1910,1910,1910,2,0.34352130084457916,-120.35,34.6
84,,Unknown,Historical,1948,1950,1948,1950,1940,1950,1940,2,0.063254386,-119.9111111,34.5527778
85,,Unknown,Historical,1920,1947,1920,1947,1920,1940,1920,5,0.09934663,-119.686111,34.526944
86,,Unknown,Historical,1971,1972,1971,1972,1970,1970,1970,1,0.16331075021454625,-119.987778,34.589167
87,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.009852879,-120.355556,34.613333
88,,Unknown,Historical,1951,1952,1951,1952,1950,1950,1950,2,0.011924373084548969,-120.475,34.646
89,,Unknown,Historical,1960,1961,1960,1961,1960,1960,1960,5,0.063919241,-120.143056,34.584722
90,,Unknown,Historical,1965,1966,1965,1966,1960,1960,1960,5,0.00986585,-120.3555556,34.6133333
91,,Unknown,Historical,1947,1948,1947,1948,1940,1940,1940,5,0.1226246772621595,-120.425,34.636111
