id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review,decade,lat_combined,lon_combined,lat_source_col,lon_source_col,coord_source,in_california
38962,21,41.15,-111.97,,,Wasatch Mountains of northern Utah,[],Aspen-herbaceous covered plot in northern Utah,,Weber County,1947-01-01 to 1949-12-31,Annual,inches,Precipitation,"['precipitation', 'natural water loss', 'recoverable water']",38962_21,41.15,-111.97,Precipitation,,1947,1949,[1947 1949],EXACT_RANGE,,FALSE,1940,41.15,-111.97,inferred_latitude,inferred_longitude,inferred,FALSE
3144,39,,,31.7461,-110.5669,"near St. Johns, Arizona",[],Lyman Canal below Lyman Reservoir,Pima County,,"10/01/1963-09/30/1964, 10/01/1964-09/30/1965",Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Discharge', 'Cubic Feet per Second']",3144_39,31.7461,-110.5669,Stream discharge,,1963,1965,[1963 1964 1965],MULTI_YEARS_OR_RANGES,,FALSE,1960,31.7461,-110.5669,actual_latitude,actual_longitude,actual,FALSE
3217,374,,,42.15,-121.7,"SW1 sec. 30, T. 39 S., R. 10 E., near Olene, Oregon","['T. 39 S., R. 10 E., SW1 sec. 30']",Klamath River to Lost River Diversion,Unknown,"Lake County, Oregon",1930-10/01 to 1950-12/31,Daily,"cubic feet per second (cfs), acre-feet",Stream Discharge,"['canal', 'diversion', 'Klamath River', 'Lost River', 'irrigation', 'Tule Lake']",3217_374,42.15,-121.7,Stream discharge,,1930,1950,[1930 1950],EXACT_RANGE,,FALSE,1930,42.15,-121.7,actual_latitude,actual_longitude,actual,FALSE
3217,374,,,42.1333,-121.9667,"SE sec. 35, T. 39 S., R. 7 E., near Keno, Oregon","['T. 39 S., R. 7 E., SE sec. 35']","Klamath River at Keno, Oregon",Unknown,"Lake County, Oregon",1904-01/01 to 1950-12/31,Daily,cubic feet per second (cfs),Stream Discharge,"['Klamath River', 'discharge', 'gage', 'South Canal', 'Midland Canal']",3217_374,42.1333,-121.9667,Stream discharge,,1904,1950,[1904 1950],EXACT_RANGE,,FALSE,1900,42.1333,-121.9667,actual_latitude,actual_longitude,actual,FALSE
604,308,,,42.233333,-120.5,Water-stage recorder,"['SW1 sec. 29, T. 38 S., R. 19 E.']",Cottonwood Creek,,"Lake County, Oregon","['11/01/1908-09/30/1919', '10/01/1925-09/30/1947']",Daily,Second-feet,Stream Discharge,"['discharge', 'flow', 'gage height', 'water-stage recorder']",604_308,42.233333,-120.5,Stream discharge,,1908,1947,[1908 1909 1919 1925 1947],MULTI_YEARS_OR_RANGES,,FALSE,1900,42.233333,-120.5,actual_latitude,actual_longitude,actual,FALSE
2913,70,,,42.5,-111.3166667,"Near Georgetown, Idaho","['T. 11 S., R. 44 E., NE1 sec. 4']",Georgetown Creek,"Owyhee County, Idaho",,1923-01-01-1950-12-31,Yearly and Monthly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['stream discharge', 'cubic feet per second', 'maximum day', 'minimum day', 'mean', 'runoff']",2913_70,42.5,-111.3166667,Stream discharge,,1923,1950,[1923 1950],EXACT_RANGE,,FALSE,1920,42.5,-111.3166667,actual_latitude,actual_longitude,actual,FALSE
251,360,33.1478,-111.7321,,,"Near Superior, Ariz.",[],Queen Creek,,"Pinal County, Arizona",October 1919-September 1920,Monthly,"{'Discharge': 'second-feet', 'Runoff': ['Second-foot-days', 'Acre-feet']}",Stream Discharge,"['Discharge', 'Second-feet', 'Runoff', 'Acre-feet']",251_360,33.1478,-111.7321,Stream discharge,,1919,1920,[1919 1920],EXACT_RANGE,,FALSE,1910,33.1478,-111.7321,inferred_latitude,inferred_longitude,inferred,FALSE
251,204,,,34.3667,-111.7833,"Coolidge Dam, Arizona",[],San Carlos Reservoir,Yavapai County,,10/31/1928-09/30/1934,Monthly,"{'Elevation': 'feet', 'Contents_Change': 'acre-feet'}",Reservoir,"['San Carlos Reservoir', 'Coolidge Dam', 'elevation', 'contents']",251_204,34.3667,-111.7833,Reservoir,,1928,1934,[1928 1934],EXACT_RANGE,,FALSE,1920,34.3667,-111.7833,actual_latitude,actual_longitude,actual,FALSE
2447,320,,,38.0416667,-111.45,on left bank 11 miles northwest of Boulder,"['N12 sec. 10, T.32 S., R. E.']",East Fork Boulder Creek near Boulder,,"San Juan County, Utah","May 27, 1951 - Sept. 18, 1961",Varies by year; specific dates given for each measurement,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['Gage height', 'Discharge', 'Stage-discharge relation']",2447_320,38.0416667,-111.45,Stream discharge,,1951,1961,[1951 1961],EXACT_RANGE,,FALSE,1950,38.0416667,-111.45,actual_latitude,actual_longitude,actual,FALSE
2447,320,,,38.0013889,-111.3894444,"on right bank on State Highway U-54, 8 miles north of Boulder","['sec. 29, T.3 32 S., R.5 E.']",East Fork Deer Creek near Boulder,,"San Juan County, Utah","Aug. 4, 1951 - Sept. 21, 1962",Varies by year; specific dates given for each measurement,"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['Gage height', 'Discharge', 'Stage-discharge relation']",2447_320,38.0013889,-111.3894444,Stream discharge,,1951,1962,[1951 1962],EXACT_RANGE,,FALSE,1950,38.0013889,-111.3894444,actual_latitude,actual_longitude,actual,FALSE
3144,226,,,33.7416667,-108.7708333,"33°44'30""N 108°46'15""W in SWNE sec 35, T.6 S., R.19 W.","['T.6 S., R.19 W., sec 35']",San Francisco River near Reserve,,"Apache County, New Mexico",03/1959-09/1965,Hourly for specific events,"{'Discharge': 'cubic feet per second (cfs)', 'Gage height': 'feet', 'Precipitation/Accumulation': 'acre-feet'}",Stream Discharge,"['Stream', 'Discharge', 'Gage height', 'Flow rate']",3144_226,33.7416667,-108.7708333,Stream discharge,,1959,1965,[1959 1965],EXACT_RANGE,,FALSE,1950,33.7416667,-108.7708333,actual_latitude,actual_longitude,actual,FALSE
3144,342,,,32.352777,-111.095833,"L bridge pier in Cortaro, Arizona","['T.12 S., R.12 E., sec. 26']",Santa Cruz River,"Pima County, Arizona",,10/09/1960-07/24/1964,"Hourly (for maximum discharges), Monthly (discharge table)","{'Discharge': 'cubic feet per second', 'Gage height': 'feet', 'Drainage area': 'square miles', 'Annual total discharge': 'acre-feet'}",Stream Discharge,"['Santa Cruz River', 'discharge', 'gage height', 'flow']",3144_342,32.352777,-111.095833,Stream discharge,,1960,1964,[1960 1964],EXACT_RANGE,,FALSE,1960,32.352777,-111.095833,actual_latitude,actual_longitude,actual,FALSE
2447,244,,,40.233333,-107.016667,4 miles southwest of town of Oak Creek and 16 miles upstream from mouth,"['T.3 N., R.86 W., NE+ sec. 15']","Oak Creek near Oak Creek, Colo.",Unspecified,"Jackson County, Colorado (inferred)","May 18, 1954-05/24, 1956",Annual measurements,"{'Gage_height': 'feet', 'Discharge': 'cubic feet per second (cfs)'}",Stream Discharge,"['stream discharge', 'gage height', 'discharge']",2447_244,40.233333,-107.016667,Stream discharge,,1954,1956,[1954 1956],EXACT_RANGE,,FALSE,1950,40.233333,-107.016667,actual_latitude,actual_longitude,actual,FALSE
2447,244,,,40.483333,-106.833333,30 ft downstream from First Street Bridge in Steamboat Springs and a quarter of a mile upstream from Soda Creek,"['sec.17, T.6 N., R.84 W.']","Yampa River at Steamboat Springs, Colo.",Unspecified,"Routt County, Colorado (inferred)","May 2, 1919-06/14, 1921",Annual measurements,"{'Gage_height': 'feet', 'Discharge': 'cubic feet per second (cfs)'}",Stream Discharge,"['stream discharge', 'gage height', 'discharge']",2447_244,40.483333,-106.833333,Stream discharge,,1919,1921,[1919 1921],EXACT_RANGE,,FALSE,1910,40.483333,-106.833333,actual_latitude,actual_longitude,actual,FALSE
2249,406,,,42.0667,-121.8,"Coffee, California",[],Coffee Creek,Klamath County,Klamath County,10/03/1911-07/29/1912,Daily,"{'Gage_height': 'Feet', 'Discharge': 'Sec.-ft'}",Stream Discharge,"['Discharge measurements', 'Gage height', 'Sec.-ft']",2249_406,42.0667,-121.8,Stream discharge,,1911,1912,[1911 1912],EXACT_RANGE,,FALSE,1910,42.0667,-121.8,actual_latitude,actual_longitude,actual,FALSE
25119,26,40.1483,-106.9515,,,"near Buford, Colo.",[],North Fork White River near Buford,"Routt County, Colorado","Routt County, Colorado",1903-06;1956-,Daily or monthly figures (calendar years),,Stream Discharge,"['North Fork White River', 'Buford']",25119_26,40.1483,-106.9515,Stream discharge,,1903,1956,[1903 1906 1956],MULTI_YEARS_OR_RANGES,,FALSE,1900,40.1483,-106.9515,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,40.1483,-106.9515,,,"near Buford, Colo.",[],"South Fork White River near Buford, Colo","Routt County, Colorado","Routt County, Colorado",1903-06;1910-15;1942-47;1967-,Daily or monthly figures (calendar years),,Stream Discharge,"['South Fork White River', 'Buford']",25119_26,40.1483,-106.9515,Stream discharge,,1903,1967,[1903 1906 1910 1915 1942 1947 1967],MULTI_YEARS_OR_RANGES,,FALSE,1900,40.1483,-106.9515,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,40.1546,-107.8557,,,"near Meeker, Colo.",[],"White River above Coal Creek, near Meeker, Colo","Routt County, Colorado","Routt County, Colorado",1961-,Daily or monthly figures (calendar years),,Stream Discharge,"['White River', 'Coal Creek', 'Meeker']",25119_26,40.1546,-107.8557,Stream discharge,,1961,1961,[1961],SINGLE_YEAR,,FALSE,1960,40.1546,-107.8557,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,40.1546,-107.8557,,,"near Meeker, Colo.",[],"Coal Creek near Meeker, Colo","Routt County, Colorado","Routt County, Colorado",1957-68.,Daily or monthly figures (calendar years),,Stream Discharge,"['Coal Creek', 'Meeker']",25119_26,40.1546,-107.8557,Stream discharge,,1957,1968,[1957 1968],EXACT_RANGE,,FALSE,1950,40.1546,-107.8557,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,40.1566,-107.8532,,,"below Meeker, Colo.",[],"White River below Meeker, Colo","Routt County, Colorado","Routt County, Colorado",1961-,Daily or monthly figures (calendar years),,Stream Discharge,"['White River', 'Meeker']",25119_26,40.1566,-107.8532,Stream discharge,,1961,1961,[1961],SINGLE_YEAR,,FALSE,1960,40.1566,-107.8532,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,39.8433,-108.7216,,,"at Rio Blanco, Colo.",[],"Piceance Creek at Rio Blanco, Colo","Rio Blanco County, Colorado","Rio Blanco County, Colorado",1952-57.,Daily or monthly figures (calendar years),,Stream Discharge,"['Piceance Creek', 'Rio Blanco']",25119_26,39.8433,-108.7216,Stream discharge,,1952,1957,[1952 1957],EXACT_RANGE,,FALSE,1950,39.8433,-108.7216,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,40.4281,-109.978,,,"near Ouray, Utah",[],"Green River near Ouray, Utah","Uintah County, Utah","Uintah County, Utah",1947-55;1956-66.,Daily or monthly figures (calendar years),,Stream Discharge,"['Green River', 'Ouray']",25119_26,40.4281,-109.978,Stream discharge,,1947,1966,[1947 1955 1956 1966],MULTI_YEARS_OR_RANGES,,FALSE,1940,40.4281,-109.978,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,39.5188,-110.7576,,,"near Scofield, Utah",[],"Scofield Reservoir near Scofield, Utah","Emery County, Utah","Emery County, Utah",1926-41p;1942,Daily or monthly figures (calendar years),,Reservoir,"['Scofield Reservoir', 'Scofield']",25119_26,39.5188,-110.7576,Reservoir,,1926,1942,[1926 1942],EXACT_RANGE,,FALSE,1920,39.5188,-110.7576,inferred_latitude,inferred_longitude,inferred,FALSE
25119,26,39.5299,-110.7478,,,"at Green River, Utah",[],"Green River (at Little Valley) at Green River, Utah","Emery County, Utah","Emery County, Utah",1894-99;1904-,Daily or monthly figures (calendar years),,Stream Discharge,"['Green River', 'Little Valley']",25119_26,39.5299,-110.7478,Stream discharge,,1894,1904,[1894 1899 1904],MULTI_YEARS_OR_RANGES,,FALSE,1890,39.5299,-110.7478,inferred_latitude,inferred_longitude,inferred,FALSE
3144,72,35.0667,-110.6667,,,near Winslow,[],"Chevelon Fork below Wildcat Canyon, near Winslow",,Coconino County,"10/01/1963-09/30/1964, 10/01/1964-09/30/1965",daily,cubic feet per second,Stream Discharge,"['DISCHARGE', 'CUBIC FEET PER SECOND']",3144_72,35.0667,-110.6667,Stream discharge,,1963,1965,[1963 1964 1965],MULTI_YEARS_OR_RANGES,,FALSE,1960,35.0667,-110.6667,inferred_latitude,inferred_longitude,inferred,FALSE
3048,673,,,42.55,-121.3167,"SE1 sec. 8, T.35 S., R.12 E.","['T.35 S., R.12 E., SE1 sec. 8']",Sycan River near Beatty,"Malheur County, Oregon",,"November, December 1911-April to August 1912, October 1912-June 1913, April 1914-April 1915, June 1915-October 1916, March 1917-September 1925",Varies,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discontinued', 'Gage', 'Water-stage recorder', 'Drainage area']",3048_673,42.55,-121.3167,Stream discharge,,1911,1925,[1911 1912 1913 1914 1915 1916 1917 1925],MULTI_YEARS_OR_RANGES,,FALSE,1910,42.55,-121.3167,actual_latitude,actual_longitude,actual,FALSE
3048,673,,,42.4333,-121.35,"near center sec. 19, T.36 S., R.12 E.","['T.36 S., R.12 E., near center sec. 19']",Whiskey Creek near Beatty,"Malheur County, Oregon",,"March to September 1917, March 1918-September 1919",Monthly,"{'Discharge': 'cubic feet per second (cfs)', 'Runoff': 'acre-feet'}",Stream Discharge,"['Staff gage', 'Drainage area', 'Max discharge observed']",3048_673,42.4333,-121.35,Stream discharge,,1917,1919,[1917 1918 1919],MULTI_YEARS_OR_RANGES,,FALSE,1910,42.4333,-121.35,actual_latitude,actual_longitude,actual,FALSE
2913,179,40.2434,-111.6469,,,"Vivian Park, Utah",[],South Fork Provo River at Vivian Park,,Utah County,01/01/1936-12/31/1950,Monthly,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discharge', 'cubic feet per second']",2913_179,40.2434,-111.6469,Stream discharge,,1936,1950,[1936 1950],EXACT_RANGE,,FALSE,1930,40.2434,-111.6469,inferred_latitude,inferred_longitude,inferred,FALSE
2913,179,40.2434,-111.6469,,,"Vivian Park, Utah",[],South Fork Provo River Yearly Discharge,,Utah County,01/01/1912-12/31/1925,Yearly,"{'Discharge': 'cubic feet per second', 'Runoff': 'acre-feet'}",Stream Discharge,"['Discharge', 'cubic feet per second', 'Runoff', 'acre-feet']",2913_179,40.2434,-111.6469,Stream discharge,,1912,1925,[1912 1925],EXACT_RANGE,,FALSE,1910,40.2434,-111.6469,inferred_latitude,inferred_longitude,inferred,FALSE
56808,386,,,-39.0055556,120.3144444,"Near Meeks Bay, CA, on right bank 0.3 mi (0.5 km) downstream from Loon Lake Dam, Eldorado National Forest","[""T.13 N., R.15 E., NE&NE's sec. 5""]",Gerle Creek Below Loon Lake Dam,Dorado County,,"07/1910-04/1914, 08/1962-Present",Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Flow': 'acre-feet/yr'}",Stream Discharge,"['Loon Lake Dam', 'Gerle Creek', 'stream discharge', 'water-stage recorder', 'V-notch concrete weir']",56808_386,-39.0055556,120.3144444,Stream discharge,,1910,,[1910 1914 1962],OPEN_ENDED_IGNORED,,TRUE,1910,-39.0055556,120.3144444,actual_latitude,actual_longitude,actual,FALSE
3144,309,,,31.344444,-110.851389,"on left bank three-quarters of a mile downstream from international boundary, 5 miles upstream from Yerba Buena Dam site, and 5 miles east of Nogales","['T.24 S. R.15 E., NW2 sec 18']",Santa Cruz River near Nogales,,"Pima County, Arizona",05/01/1907-12/31/1965,Daily for specific months (1907-1912; 1913-1922; 1930-1933; 1935-1965),"{'Discharge': 'cubic feet per second (cfs), acre-feet', 'Gage Height': 'feet'}",Stream Discharge,"['discharge measurements', 'gage-height record', 'water-stage recorder', 'International Boundary and Water Commission']",3144_309,31.344444,-110.851389,Stream discharge,,1907,1965,[1907 1912 1965],MULTI_YEARS_OR_RANGES,,FALSE,1900,31.344444,-110.851389,actual_latitude,actual_longitude,actual,FALSE
25074,9,,,36.1061,-112.1129,"Grand Canyon, Arizona",[],Grand Canyon,,"Coconino County, Arizona",10/01/1925-09/30/1928,Daily,Percent by weight,Stream Discharge,"['suspended matter', 'discharge']",25074_9,36.1061,-112.1129,Stream discharge,,1925,1928,[1925 1928],EXACT_RANGE,,FALSE,1920,36.1061,-112.1129,actual_latitude,actual_longitude,actual,FALSE
