id,page_number,inferred_latitude,inferred_longitude,actual_latitude,actual_longitude,location,townships_ranges_sections,watersource_name,actual_county,inferred_county,dates_of_recording_raw,temporal_resolution,units_of_measurement,water_type,keyterms,id_page_number,latitude,longitude,water_type_clean,water_type_review,year_start,year_end,years_list,date_parse_status,date_parse_notes,needs_date_review,decade,lat_combined,lon_combined,lat_source_col,lon_source_col,coord_source
51831,19,,,34.505556,-119.786111,Painted Cave,[],Sam Nuckcls Spring,"Kern County, California",,09/25/1953-06/18/1954,Variable (based on recorded dates),"{'Discharge': ['cubic feet per second', 'gallons per minute'], 'Temperature': '°F'}",Springs,"['springs', 'discharge', 'temperature']",51831_19,34.505556,-119.786111,Springs,,1953,1954,[1953 1954],EXACT_RANGE,,False,1950,34.505556,-119.786111,actual_latitude,actual_longitude,actual
1520,112,34.6467,-120.4422,,,"Near Lompoc, California","['T. 19 S., R. 6 E., sec. 21']",Santa Ynez River,Santa Barbara County,,10/01/1913-09/30/1914,Monthly,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}",Stream Discharge,"['Monthly discharge', 'Santa Ynez River']",1520_112,34.6467,-120.4422,Stream discharge,,1913,1914,[1913 1914],EXACT_RANGE,,False,1910,34.6467,-120.4422,inferred_latitude,inferred_longitude,inferred
2060,159,34.4351,-119.6959,,,About 5.9 miles east-southeast of Lompoc,[],"City of Santa Barbara, well 267",Santa Barbara County,,1932-03-09 to 1942-01-28,Daily to Monthly (Dates vary between entries),Feet below land-surface datum,Groundwater,"['well', 'groundwater levels']",2060_159,34.4351,-119.6959,Groundwater,,1932,1942,[1932 1942],EXACT_RANGE,,False,1930,34.4351,-119.6959,inferred_latitude,inferred_longitude,inferred
3058,212,,,34.97639,-120.57083,"Guadalupe Grant, on downstream side of fifth bridge pier from left bank on State Highway 1, 0.5 mile north of Guadalupe",[],Santa Maria River at Guadalupe,Santa Barbara County,,10/01/1940-09/30/1960,Monthly,"['cubic feet per second', 'acre-feet']",Stream Discharge,"['Monthly discharge', 'maximum discharge', 'minimum day', 'mean', 'water-stage recorder']",3058_212,34.97639,-120.57083,Stream discharge,,1940,1960,[1940 1960],EXACT_RANGE,,False,1940,34.97639,-120.57083,actual_latitude,actual_longitude,actual
2060,391,34.9505,-120.4301,,,"City of Santa Maria, California","['3N2', '3N3']",City of Santa Maria well,Santa Barbara County,Santa Barbara County,['09/30/1933-02/13/1942'],Variable (1933 to 1942),Feet,Groundwater,"['Gravel', 'Sand']",2060_391,34.9505,-120.4301,Groundwater,,1933,1942,[1933 1942],EXACT_RANGE,,False,1930,34.9505,-120.4301,inferred_latitude,inferred_longitude,inferred
2060,391,34.9505,-120.4301,,,"Santa Maria Army Air Base, California","['3Q1', '4F1']","War Department, Santa Maria Army Air Base well",Santa Barbara County,Santa Barbara County,['08/27/1942'],Variable (August 1942),Feet,Groundwater,"['Gravel', 'Sandy clay']",2060_391,34.9505,-120.4301,Groundwater,,1942,1942,[1942],SINGLE_YEAR,,False,1940,34.9505,-120.4301,inferred_latitude,inferred_longitude,inferred
2060,391,34.9419,-120.4375,,,"Tidewater, California","['6K1', '6K2']",Tidewater Associated Oil Co.,Santa Barbara County,Santa Barbara County,['03/26/1942'],Variable (March 1942),Feet,Groundwater,[],2060_391,34.9419,-120.4375,Groundwater,,1942,1942,[1942],SINGLE_YEAR,,False,1940,34.9419,-120.4375,inferred_latitude,inferred_longitude,inferred
2060,391,34.9456,-120.4489,,,"Clement, California","['4P1', '8K1']",Clement Muscio well,Santa Barbara County,Santa Barbara County,['03/26/1942'],Variable (March 1942),Feet,Groundwater,"['Gravel', 'Irrigation']",2060_391,34.9456,-120.4489,Groundwater,,1942,1942,[1942],SINGLE_YEAR,,False,1940,34.9456,-120.4489,inferred_latitude,inferred_longitude,inferred
2060,391,34.9505,-120.4301,,,"City of Santa Maria, California","['10M1', '10M2']",Union Oil Co. well,Santa Barbara County,Santa Barbara County,['09/10/1929-10/19/1934'],Variable (1929 to 1934),Feet,Groundwater,['Gravel'],2060_391,34.9505,-120.4301,Groundwater,,1929,1934,[1929 1934],EXACT_RANGE,,False,1920,34.9505,-120.4301,inferred_latitude,inferred_longitude,inferred
695,178,,,34.586944,-120.094444,"Canada de los Pinos Grant, on boundary, on right bank 300 ft upstream from Mitchell Ranch road, 0.4 mile upstream from mouth, and 2.0 miles southwest of Santa Ynez",,Zanja Cota near Santa Ynez,Santa Barbara County,,10/01/1954-09/30/1957,Daily,cubic feet per second (cfs),Stream Discharge,"['stream discharge', 'gage water-stage recorder', 'maximum discharge', 'cubic feet per second']",695_178,34.586944,-120.094444,Stream discharge,,1954,1957,[1954 1957],EXACT_RANGE,,False,1950,34.586944,-120.094444,actual_latitude,actual_longitude,actual
1312,341,34.9,-120.4,,,Near San Diego,[],Los Padres Ranch,San Diego County,San Diego County,1901-07-01 to 1915-06-30,Monthly,inches,Precipitation,['Precipitation'],1312_341,34.9,-120.4,Precipitation,,1901,1915,[1901 1907 1915],MULTI_YEARS_OR_RANGES,,False,1900,34.9,-120.4,inferred_latitude,inferred_longitude,inferred
633,164,,,34.8375,-120.1694444,"SE sec. 20, T. 9 Santa Barbara County",['T. 9 SE sec. 20'],Sisquoc River near Sisquoc,Santa Barbara County,,10/01/1949-09/30/1950,Daily,Second-feet,Stream Discharge,"['Discharge', 'Second-feet', 'Gage height', 'Rating curve']",633_164,34.8375,-120.1694444,Stream discharge,,1949,1950,[1949 1950],EXACT_RANGE,,False,1940,34.8375,-120.1694444,actual_latitude,actual_longitude,actual
1110,181,34.9,-120.5,,,"Santa Rosa Valley, California","['T. 7 N., R. 7 W.']",Water wells in the Santa Rosa Valley area,Santa Barbara County,Santa Barbara County,1947-07-07 to 1951-12-31,,"{'Depth_to_Water_Level': 'feet', 'Specific_Conductance': 'microsiemens per centimeter at 25°C'}",Groundwater,"['Well', 'Irrigation', 'Drinking Water (D)', 'Pressure System (PS)']",1110_181,34.9,-120.5,Groundwater,,1947,1951,[1947 1951],EXACT_RANGE,,False,1940,34.9,-120.5,inferred_latitude,inferred_longitude,inferred
24284,170,,,34.525,-120.0555556,Stone-curbed pool west side of creek,[],Site 78 Spring,,Kern County,"Nov 8, 1948- Dec 21, 1957",Varied (specific dates),"{'Discharge': 'gpm', 'Temperature': '°F'}",Springs,"['Stone-curbed pool', 'Discharge', 'Spring']",24284_170,34.525,-120.0555556,Springs,,1948,1957,[1948 1957],EXACT_RANGE,,False,1940,34.525,-120.0555556,actual_latitude,actual_longitude,actual
53590,40,34.8288,-120.5883,,,"Vandenberg Air Force Base, California",[],Tranquillon Mountain Spring,,Santa Barbara,,,,Springs,['Tranquillon Mountain Spring'],53590_40,34.8288,-120.5883,Springs,,,,,UNPARSED,,True,,34.8288,-120.5883,inferred_latitude,inferred_longitude,inferred
