URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/wdrMDDE682,70217269,wdrMDDE682,Report,USGS Numbered Series,"Water Resources Data Maryland and Delaware, Water Year 1968, Part 2. Water Quality Records","Water resources data Maryland and Delaware, water year 1968, Part 2. Water quality records",Water Data Report,MD-DE-68-2,,,,,,,10.3133/wdrMDDE682,,,,1970,false,English,U.S. Geological Survey,,Maryland-Delaware-District of Columbia  Water Science Center,81 p.,,,,,,,,,,,,,United States,"Delaware, Maryland",,,,,,,,,U.S. Geological Survey,,,1,,,,,,,,,
https://pubs.usgs.gov/publication/wdrMDDE701,70217276,wdrMDDE701,Report,USGS Numbered Series,"Water Resources Data Maryland and Delaware, Water Year 1970, Part 1. Surface Water Records","Water resources data Maryland and Delaware, water year 1970, Part 1. Surface water records",Water Data Report,MD-DE-70-1,,,,,,,10.3133/wdrMDDE701,,,,1970,false,English,U.S. Geological Survey,,Maryland-Delaware-District of Columbia  Water Science Center,153 p.,,,,,,,,,,,,,United States,"Delaware, Maryland",,,,,,,,,U.S. Geological Survey,,,1,,,,,,,,,
https://pubs.usgs.gov/publication/wdrMDDE681,70217268,wdrMDDE681,Report,USGS Numbered Series,"Water Resources Data Maryland and Delaware, Water Year 1968, Part 1. Surface Water Records","Water resources data Maryland and Delaware, water year 1968, Part 1. Surface water records",Water Data Report,MD-DE-68-1,,,,,,,10.3133/wdrMDDE681,,,,1970,false,English,U.S. Geological Survey,,Maryland-Delaware-District of Columbia  Water Science Center,155 p.,,,,,,,,,,,,,United States,"Delaware, Maryland",,,,,,,,,U.S. Geological Survey,,,1,,,,,,,,,
https://pubs.usgs.gov/publication/70179727,70179727,70179727,Report,State or Local Government Series,,Major thermal springs of Utah,Utah Geological and Mineralogical Survey Water-Resources Bulletin,13,,,,,,,,,,,1970,false,English,Utah Geological and Mineralogical Survey,"Salt Lake City, UT",Utah Water Science Center,60 p.,,,,,,69,,,,,,,United States,Utah,,,,,,,,,"Mundorff, J. C.",,,1,5879f5ade4b0847d353f44cc,,,,,,,,
https://pubs.usgs.gov/publication/70179624,70179624,70179624,Report,State or Local Government Series,,"Ground water in Tooele Valley, Utah",Utah Department of Natural Resources Water Circular,2,,,,,,,,,,,1970,false,English,Utah Department of Natural Resources Division of Water Rights,"Salt Lake City, UT",Utah Water Science Center,"iii, 15 p.",,,,,,20,,,,,,,United States,Utah,Tooele County,,Tooele Valley,,,,,,"Gates, J. S.; Keller, O.A.",,,2,58779f9be4b0315b4c11fff1,,,,,,,,
https://pubs.usgs.gov/publication/70180007,70180007,70180007,Report,State or Local Government Series,,"Developing a state water plan: Ground-water conditions in Utah, spring of 1970",Cooperative Investigations Report,8,,,,,,,,,,,1970,false,English,"Utah Department of Natural Resources, Division of Water Resources","Salt Lake City, UT",Utah Water Science Center,"ix, 71 p.",,,,,,82,,,,,,,United States,Utah,,,,,,,,,"Sumison, C.T.; Bjorklund, L.J.; Bolke, E.L.; Mower, R. W.; Herbert, L. R.; Cordova, R.M.; Butler, R.G.; Sandberg, G. W.",,,1,58863a13e4b0cad700058b65,,,,,,,,
https://pubs.usgs.gov/publication/70178856,70178856,70178856,Report,Other Government Series,,"Hydrologic reconnaissance of Grouse Creek valley, Box Elder County, Utah",Technical Publication,29,,,,,,,,,,,1970,false,English,"Utah Department of Natural Resources, Division of Water Rights","Salt Lake City, UT",Utah Water Science Center,"v, 54 p.",,,,,,60,,,,,,,United States,Utah,Box Elder County,,Grouse Creek Valley,,,,,,"Hood, J. W.; Price, Don",,,2,584bd0e3e4b077fc20250e34,,,,,,,,
https://pubs.usgs.gov/publication/70178851,70178851,70178851,Report,Other Government Series,,"Water resources of the Heber-Kamas-Park City area north-central Utah, with a section on a gravity and aeromagnetic survey of Heber and Rhodes Valleys",Technical Publication,27,,,,,,,,,,,1970,false,English,"Utah Department of Natural Resources, Division of Water Rights","Salt Lake City, UT",Utah Water Science Center,"iv, 79 p.",,,,,,91,,,,,,,United States,Utah,"Summit County, Wasatch County",,,,,,,,"Baker, Claud H. Jr.; Peterson, D. L.",,,2,584bd0e3e4b077fc20250e38,,,,,,,,
https://pubs.usgs.gov/publication/70178852,70178852,70178852,Report,Other Government Series,,"Ground-water conditions in southern Utah Valley and Goshen Valley, Utah",Technical Publication,28,,,,,,,,,,,1970,false,English,"Utah Department of Natural Resources, Division of Water Rights","Salt Lake City, UT",Utah Water Science Center,"vii, 79 p.",,,,,,92,,,,,,,United States,Utah,Utah County,,"Southern Utah Valley, Goshen Valley",,,,,,"Cordova, R.M.",,,2,584bd0e3e4b077fc20250e36,,,,,,,,
https://pubs.usgs.gov/publication/70157474,70157474,70157474,Report,State or Local Government Series,,Field trip guidebook to the hydrogeology of the Rock-Fox River basin of Southeastern Wisconsin,Wisconsin Geological & Natural History Survey Information Circular,17,,,,,,,,,,,1970,false,English,Wisconsin Geological & Natural History Survey,"Madison, WI",,47 p.,,,,,,52,,,,,,,United States,Wisconsin,,,Southeastern Wisconsin,,,,N,N,"Holt, C. L. R. Jr.; Cotter, R. D.; Green, J. H.; Olcott, P. G.",,,1,56051ebee4b058f706e512be,,,,,,,,
